COMMAND                   AVG_CPU%
isuride                       78.9
nginx                         70.6
curl                           1.4
pidstat                        0.6
rcu_sched                      0.4
ksoftirqd/1                    0.2
ksoftirqd/0                    0.2
mysql                          0.1
kworker/u8:3-kvfree_rcu_reclaim       0.1
kworker/u8:1-kvfree_rcu_reclaim       0.1
kworker/1:0-events             0.1
kworker/0:2-events             0.1
systemd-logind                 0.0
snapd                          0.0
sh                             0.0
