procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6733976  34672 825172    0    0   123   192 6235   20  2  1 97  0  0  0 2026-09-21 16:40:28
 0  0      0 6712724  34672 825164    0    0     0     0 2175 2074  3  2 95  0  0  0 2026-09-21 16:40:29
 0  0      0 6712724  34672 825164    0    0     0     0   61   79  0  0 100  0  0  0 2026-09-21 16:40:30
 4  0      0 6710760  34672 825164    0    0     0     0 9633 12978  4  1 95  0  0  0 2026-09-21 16:40:31
 0  0      0 6708492  34672 825164    0    0     0  8460 6477 9532  1  1 98  1  0  0 2026-09-21 16:40:32
 0  0      0 6707464  34672 825164    0    0     0     0 17363 24830  5  2 93  0  0  0 2026-09-21 16:40:33
 2  0      0 6697168  34672 825164    0    0     0     0 20249 28566  7  2 91  0  0  0 2026-09-21 16:40:34
 0  0      0 6687844  34672 825164    0    0     0     0 21939 30195  8  3 90  0  0  0 2026-09-21 16:40:35
 0  0      0 6680040  34672 825164    0    0     0     0 25512 36328  8  4 89  0  0  0 2026-09-21 16:40:36
 0  0      0 6665836  34680 825168    0    0     0    64 27452 37969 10  4 86  0  0  0 2026-09-21 16:40:37
 4  0      0 6652320  34680 825168    0    0     0     0 27371 38402  9  4 87  0  0  0 2026-09-21 16:40:38
 0  0      0 6634680  34680 825168    0    0     0     0 32442 43206 11  5 84  0  0  0 2026-09-21 16:40:39
 2  0      0 6605216  34680 825168    0    0     0     0 32022 41913 12  4 84  0  0  0 2026-09-21 16:40:40
 0  0      0 6598996  34680 825168    0    0     0     0 34129 46088 11  4 85  0  0  0 2026-09-21 16:40:41
 0  0      0 6576740  34680 825172    0    0     0     0 35307 46612 13  5 82  0  0  0 2026-09-21 16:40:42
 2  0      0 6549776  34680 825180    0    0     0     0 46096 58446 18  8 74  0  0  0 2026-09-21 16:40:43
 1  0      0 6535916  34680 825216    0    0     0     0 41599 53511 15  6 80  0  0  0 2026-09-21 16:40:44
 3  0      0 6502148  34680 825256    0    0     0     0 37343 46506 15  6 79  0  0  0 2026-09-21 16:40:45
 2  0      0 6499880  34680 825276    0    0     0     0 40969 52695 14  6 81  0  0  0 2026-09-21 16:40:46
 1  0      0 6473420  34680 825296    0    0     0     0 39513 49455 16  6 78  0  0  0 2026-09-21 16:40:47
 0  0      0 6471152  34680 825340    0    0     0     4 38613 48303 14  6 80  0  0  0 2026-09-21 16:40:48
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 6442108  34680 825376    0    0     0     0 43586 53670 20  6 74  0  0  0 2026-09-21 16:40:49
 0  0      0 6438088  34680 825396    0    0     0     0 45044 57095 17  6 77  0  0  0 2026-09-21 16:40:50
 1  0      0 6414404  34680 825452    0    0     0     0 43392 54152 15  7 78  0  0  0 2026-09-21 16:40:51
