COMMAND                   AVG_CPU%
isuride                       82.3
nginx                         55.6
curl                           1.2
pidstat                        0.6
rcu_sched                      0.3
ksoftirqd/1                    0.2
ksoftirqd/0                    0.2
mysql                          0.1
kworker/u8:1-kvfree_rcu_reclaim       0.1
kworker/u8:0-kvfree_rcu_reclaim       0.1
kworker/1:3-events             0.1
systemd                        0.0
sh                             0.0
polkitd                        0.0
multipathd                     0.0
