procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 1486016 103836 2007204    0    0   196  2412 8310   54 22  9 67  1  0  0 2026-09-21 16:35:52
 2  0      0 1484524 103836 2007140    0    0     0     0 1402 1536  6  3 91  0  0  0 2026-09-21 16:35:53
 1  0      0 1476012 103836 2007140    0    0     0     0  770  610  8  2 90  0  0  0 2026-09-21 16:35:54
 0  0      0 1484864 103836 2007140    0    0     0     0  644  498  5  1 95  0  0  0 2026-09-21 16:35:55
 0  0      0 1486164 103836 2007360    0    0     0     0 13463 14784 16  8 75  0  0  0 2026-09-21 16:35:56
 0  0      0 1496220 103836 2007752    0    0     0     0 14729 18154 13 10 77  0  0  0 2026-09-21 16:35:57
 0  0      0 1493196 103836 2008228    0    0     0     0 19276 22036 18 13 69  0  0  0 2026-09-21 16:35:58
 2  0      0 1491724 103836 2008936    0    0     0     0 24595 28287 23 20 57  0  0  0 2026-09-21 16:35:59
 4  0      0 1490604 103836 2009696    0    0     0     0 26305 31200 21 19 59  0  0  0 2026-09-21 16:36:00
 6  0      0 1490624 103836 2010544    0    0     0     0 27998 29110 29 22 50  0  0  0 2026-09-21 16:36:01
 4  0      0 1488356 103836 2011276    0    0     0     0 29660 33373 30 23 47  0  0  0 2026-09-21 16:36:02
 0  0      0 1487856 103836 2012124    0    0     0  4564 30861 33135 32 24 43  1  0  0 2026-09-21 16:36:03
 4  0      0 1483120 103836 2013096    0    0     0     0 34237 36365 34 30 36  0  0  0 2026-09-21 16:36:04
 1  0      0 1482616 103836 2014024    0    0     0  9968 36580 37055 36 32 31  1  0  0 2026-09-21 16:36:05
 5  0      0 1487676 103836 2015240    0    0     0     0 34343 36513 40 31 29  0  0  0 2026-09-21 16:36:06
 3  0      0 1482916 103836 2016472    0    0     0     0 36366 36354 41 35 25  0  0  0 2026-09-21 16:36:07
 5  0      0 1484048 103836 2017588    0    0     0  5396 36735 35119 40 36 23  0  0  0 2026-09-21 16:36:08
 5  0      0 1480476 103836 2018764    0    0     0     0 35020 32886 42 33 25  0  0  0 2026-09-21 16:36:09
 4  0      0 1478448 103836 2019988    0    0     0     0 35502 33843 43 33 24  0  0  0 2026-09-21 16:36:10
 6  0      0 1477744 103836 2020940    0    0     0     0 34547 32814 43 33 24  0  0  0 2026-09-21 16:36:11
 3  0      0 1477692 103836 2022280    0    0     0     0 35085 33635 39 37 24  0  0  0 2026-09-21 16:36:12
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 3  0      0 1478348 103836 2023312    0    0     0  5580 35111 32772 41 33 26  0  0  0 2026-09-21 16:36:13
 2  0      0 1475844 103836 2024324    0    0     0     0 34937 33904 41 36 23  0  0  0 2026-09-21 16:36:14
 3  0      0 1471776 103836 2025252    0    0     0    12 34752 32793 42 33 25  0  0  0 2026-09-21 16:36:15
 5  0      0 1470064 103836 2026424    0    0     0     0 37902 33611 44 37 19  0  0  0 2026-09-21 16:36:16
 5  0      0 1469500 103836 2027472    0    0     0     0 36529 31070 44 36 20  0  0  0 2026-09-21 16:36:17
 5  0      0 1469500 103836 2028748    0    0     0  5400 36483 30792 43 34 22  1  0  0 2026-09-21 16:36:18
 8  0      0 1468800 103836 2029764    0    0     0     0 37677 33866 42 39 19  0  0  0 2026-09-21 16:36:19
 0  0      0 1468272 103836 2030892    0    0     0  3820 36110 31508 43 37 21  0  0  0 2026-09-21 16:36:20
 4  0      0 1467268 103836 2032076    0    0     0     4 35062 28314 51 34 16  0  0  0 2026-09-21 16:36:21
 3  0      0 1466512 103836 2033168    0    0     0   132 35889 32955 41 39 20  0  0  0 2026-09-21 16:36:22
