procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6718612  34584 824712    0    0   133   197 5282   18  2  1 97  0  0  0 2026-09-21 16:35:53
 0  0      0 6702772  34584 824712    0    0     0     0 2493 2399  3  2 95  0  0  0 2026-09-21 16:35:54
 0  0      0 6702772  34584 824712    0    0     0     0   83  114  0  0 100  0  0  0 2026-09-21 16:35:55
 2  0      0 6699884  34584 824712    0    0     0     0 8282 11672  3  1 96  0  0  0 2026-09-21 16:35:56
 0  0      0 6697852  34584 824712    0    0     0     0 8409 11435  3  1 96  0  0  0 2026-09-21 16:35:57
 0  0      0 6695344  34584 824712    0    0     0     0 14554 21194  5  2 93  0  0  0 2026-09-21 16:35:58
 0  0      0 6693812  34584 824712    0    0     0     0 18206 26357  5  2 93  0  0  0 2026-09-21 16:35:59
 0  0      0 6682220  34584 824712    0    0     0     0 27240 38432  9  3 87  0  0  0 2026-09-21 16:36:00
 0  0      0 6670124  34584 824712    0    0     0     0 22392 31431  7  3 89  0  0  0 2026-09-21 16:36:01
 0  0      0 6661304  34584 824712    0    0     0     0 24311 33836  7  3 90  0  0  0 2026-09-21 16:36:02
 0  0      0 6653744  34584 824712    0    0     0     0 27376 38335  8  4 88  0  0  0 2026-09-21 16:36:03
 1  0      0 6643916  34592 824712    0    0     0  8160 27979 38369  8  3 88  1  0  0 2026-09-21 16:36:04
 2  0      0 6625016  34592 824712    0    0     0     0 33115 45342 11  5 84  0  0  0 2026-09-21 16:36:05
 0  0      0 6610148  34592 824744    0    0     0     0 32627 44387 10  5 85  0  0  0 2026-09-21 16:36:06
 1  0      0 6589992  34592 824752    0    0     0     0 38619 51667 13  5 82  0  0  0 2026-09-21 16:36:07
 0  0      0 6582936  34592 824752    0    0     0     0 34657 46308 11  4 84  0  0  0 2026-09-21 16:36:08
 0  0      0 6554464  34592 824756    0    0     0     0 34997 46853 13  5 82  0  0  0 2026-09-21 16:36:09
 2  0      0 6552952  34592 824764    0    0     0     0 32458 42921 10  4 86  0  0  0 2026-09-21 16:36:10
 1  0      0 6534556  34592 824812    0    0     0     0 37720 50244 12  5 82  0  0  0 2026-09-21 16:36:11
 0  0      0 6529768  34592 824812    0    0     0     0 36101 47627 13  4 83  0  0  0 2026-09-21 16:36:12
 0  0      0 6527248  34592 824816    0    0     0     0 34780 44620 10  5 85  0  0  0 2026-09-21 16:36:13
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 6496508  34592 824840    0    0     0     0 32628 41015 12  4 84  0  0  0 2026-09-21 16:36:14
 1  0      0 6495752  34592 824840    0    0     0     0 34463 45060 10  5 85  0  0  0 2026-09-21 16:36:15
 0  0      0 6493236  34592 824892    0    0     0     0 31122 39727 10  4 86  0  0  0 2026-09-21 16:36:16
 6  0      0 6477360  34592 824896    0    0     0     0 36095 45892 12  5 83  0  0  0 2026-09-21 16:36:17
 2  0      0 6474840  34592 824912    0    0     0     0 34320 44249 12  4 83  0  0  0 2026-09-21 16:36:18
 0  0      0 6474840  34592 824916    0    0     0     0 31051 39035 10  4 86  0  0  0 2026-09-21 16:36:19
 0  0      0 6472824  34592 824952    0    0     0     0 37003 48139 12  5 84  0  0  0 2026-09-21 16:36:20
 1  0      0 6455184  34592 824972    0    0     0     0 33513 40904 13  5 82  0  0  0 2026-09-21 16:36:21
 0  0      0 6452916  34592 824996    0    0     0     0 38686 48589 13  5 82  0  0  0 2026-09-21 16:36:22
 1  0      0 6451564  34592 824996    0    0     0     0 35746 45444 11  4 85  0  0  0 2026-09-21 16:36:23
 3  0      0 6436788  34592 824996    0    0     0     4 37887 46740 15  4 80  0  0  0 2026-09-21 16:36:24
 1  0      0 6436032  34592 825016    0    0     0     0 38085 48389 12  5 83  0  0  0 2026-09-21 16:36:25
 0  0      0 6433672  34592 825048    0    0     0     0 39512 50273 13  6 81  0  0  0 2026-09-21 16:36:26
 0  0      0 6409336  34592 825072    0    0     0     0 43993 53884 18  6 76  0  0  0 2026-09-21 16:36:27
 0  0      0 6409084  34592 825076    0    0     0     0 38800 48877 13  4 83  0  0  0 2026-09-21 16:36:28
 1  0      0 6406140  34592 825116    0    0     0     0 43390 53463 15  6 79  0  0  0 2026-09-21 16:36:29
 1  0      0 6375092  34592 825116    0    0     0     0 41154 49591 17  6 77  0  0  0 2026-09-21 16:36:30
 2  0      0 6372824  34592 825136    0    0     0     0 41697 50847 15  5 80  0  0  0 2026-09-21 16:36:31
 0  0      0 6370812  34592 825136    0    0     0     0 39429 50051 13  6 81  0  0  0 2026-09-21 16:36:32
 0  0      0 6368292  34592 825168    0    0     0     0 43705 55652 14  6 80  0  0  0 2026-09-21 16:36:33
 0  0      0 6336540  34600 825172    0    0     0    40 42863 51721 18  6 76  0  0  0 2026-09-21 16:36:34
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0      0 6335028  34600 825176    0    0     0     0 43428 54753 15  5 80  0  0  0 2026-09-21 16:36:35
 0  0      0 6332004  34600 825176    0    0     0     0 44914 55847 14  6 80  0  0  0 2026-09-21 16:36:36
 0  0      0 6320492  34600 825216    0    0     0     0 41354 49713 14  7 80  0  0  0 2026-09-21 16:36:37
 0  0      0 6298992  34600 825268    0    0     0     0 46698 54719 21  7 72  0  0  0 2026-09-21 16:36:38
 0  0      0 6297732  34600 825272    0    0     0     0 45003 56321 15  6 79  0  0  0 2026-09-21 16:36:39
 1  0      0 6295716  34600 825272    0    0     0     0 44120 53525 15  7 79  0  0  0 2026-09-21 16:36:40
 1  0      0 6261844  34600 825272    0    0     0     0 44578 52701 16  6 78  0  0  0 2026-09-21 16:36:41
 1  0      0 6253660  34600 825276    0    0     0     0 43585 50982 19  7 75  0  0  0 2026-09-21 16:36:42
 0  0      0 6252916  34600 825312    0    0     0     0 44775 55162 15  6 78  0  0  0 2026-09-21 16:36:43
 1  0      0 6252916  34600 825332    0    0     0     0 43485 53064 14  6 79  0  0  0 2026-09-21 16:36:44
 0  0      0 6251908  34600 825336    0    0     0     0 39208 47184 12  5 82  0  0  0 2026-09-21 16:36:45
 0  0      0 6215620  34600 825336    0    0     0     0 47271 57812 16  7 78  0  0  0 2026-09-21 16:36:46
 0  0      0 6210328  34600 825352    0    0     0     0 44834 53065 20  6 74  0  0  0 2026-09-21 16:36:47
 4  0      0 6210076  34600 825372    0    0     0     0 45014 55003 16  7 78  0  0  0 2026-09-21 16:36:48
 2  0      0 6208564  34600 825372    0    0     0     0 43798 53668 15  6 79  0  0  0 2026-09-21 16:36:49
 1  0      0 6207040  34600 825372    0    0     0     0 47007 58527 15  7 78  0  0  0 2026-09-21 16:36:50
 2  0      0 6189664  34600 825372    0    0     0     0 45133 53809 21  7 72  0  0  0 2026-09-21 16:36:51
 0  0      0 6188908  34600 825372    0    0     0     0 45666 55764 16  6 78  0  0  0 2026-09-21 16:36:52
 0  0      0 6188404  34600 825376    0    0     0     0 45508 55000 17  6 77  0  0  0 2026-09-21 16:36:53
 1  0      0 6187148  34600 825376    0    0     0     0 42655 51493 15  6 79  0  0  0 2026-09-21 16:36:54
