COMMAND                   AVG_CPU%
nginx                        122.8
pidstat                        0.5
landscape-sysin                0.2
rcu_sched                      0.1
kworker/1:0-events             0.1
kworker/0:1-events             0.1
ksoftirqd/0                    0.1
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
kworker/u8:3-ext4-rsv-conversion       0.0
kworker/u8:2-kvfree_rcu_reclaim       0.0
kworker/u8:2-ext4-rsv-conversion       0.0
kworker/u8:2-events_power_efficient       0.0
kworker/u8:0-writeback         0.0
