COMMAND                   AVG_CPU%
isuride                       95.2
pidstat                        0.4
rcu_sched                      0.1
mysql                          0.1
systemd-journal                0.0
sh                             0.0
kworker/u8:2-events_power_efficient       0.0
kworker/1:2-events             0.0
kworker/0:1-events             0.0
ksoftirqd/1                    0.0
ksoftirqd/0                    0.0
gzip                           0.0
chronyd                        0.0
