COMMAND                   AVG_CPU%
isuride                      100.7
pidstat                        0.4
sh                             0.1
rcu_sched                      0.1
mysql                          0.1
kworker/1:0-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-journal                0.0
snapd                          0.0
polkitd                        0.0
landscape-sysin                0.0
kworker/u8:1-events_power_efficient       0.0
kworker/u8:0-events_unbound       0.0
kworker/0:3-events             0.0
