COMMAND                   AVG_CPU%
mysqld                        89.2
pidstat                        0.4
jbd2/nvme0n1p1-8               0.2
systemd                        0.0
sshd                           0.0
ModemManager                   0.0
kworker/u8:3-writeback         0.0
kworker/u8:3-events_power_efficient       0.0
kworker/u8:1-events_unbound       0.0
kworker/u8:1-events_power_efficient       0.0
kworker/u8:0-flush-259:0       0.0
kworker/u8:0-events_power_efficient       0.0
kworker/1:0-events             0.0
kworker/0:3-events             0.0
