COMMAND                   AVG_CPU%
isuride                      117.7
pidstat                        0.5
landscape-sysin                0.4
sh                             0.1
rcu_sched                      0.1
mysql                          0.1
ksoftirqd/1                    0.1
systemd-network                0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
kworker/u8:2-events_power_efficient       0.0
kworker/u8:0-events_power_efficient       0.0
kworker/1:3-events             0.0
kworker/0:2-events             0.0
