procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 15148128  21408 390392    0    0   103   113 28172   17 20  3 77  0  0  0 2026-09-21 18:40:58
 0  0      0 15123188  21408 390388    0    0     0     0 3425 2835  2  1 98  0  0  0 2026-09-21 18:40:59
 0  0      0 15126640  21408 390388    0    0     0     0  179  146  0  0 100  0  0  0 2026-09-21 18:41:00
 0  0      0 15124424  21408 390388    0    0     0     0 8503 10424  2  1 98  0  0  0 2026-09-21 18:41:01
 0  0      0 15114368  21408 390388    0    0     0     0 5876 6346  1  1 98  0  0  0 2026-09-21 18:41:02
 0  0      0 15104128  21408 390388    0    0     0     0 9799 10953  3  1 96  0  0  0 2026-09-21 18:41:03
 0  0      0 15065068  21408 390388    0    0     0     0 15854 15222  9  2 90  0  0  0 2026-09-21 18:41:04
 0  0      0 15050776  21408 390388    0    0     0     0 16657 15779  9  1 90  0  0  0 2026-09-21 18:41:05
 0  0      0 15016756  21408 390388    0    0     0     0 19914 17745 12  2 86  0  0  0 2026-09-21 18:41:06
 0  0      0 15008188  21408 390388    0    0     0     0 21325 19902 11  1 88  0  0  0 2026-09-21 18:41:07
 2  0      0 14949724  21408 390388    0    0     0     0 32494 27831 23  3 74  0  0  0 2026-09-21 18:41:08
 0  0      0 14888724  21408 390388    0    0     0     0 32613 27108 15  3 82  0  0  0 2026-09-21 18:41:09
 0  0      0 14790712  21408 390388    0    0     0     0 42105 30856 28  4 68  0  0  0 2026-09-21 18:41:10
 9  0      0 14667232  21408 390388    0    0     0  7680 48890 30981 33  5 63  0  0  0 2026-09-21 18:41:11
 1  0      0 14606504  21408 390388    0    0     0     0 55650 36554 38  5 57  0  0  0 2026-09-21 18:41:12
 7  0      0 14296796  21408 390388    0    0     0     0 68376 35297 48  9 43  0  0  0 2026-09-21 18:41:13
 2  0      0 14211116  21424 390400    0    0     0    80 72752 42688 43  8 49  0  0  0 2026-09-21 18:41:14
 1  0      0 13785948  21424 390516    0    0     0     0 94898 34333 61 12 27  0  0  0 2026-09-21 18:41:15
 8  0      0 13506292  21424 390740    0    0     0     0 97799 37987 63 12 25  0  0  0 2026-09-21 18:41:16
 8  0      0 13125040  21424 390848    0    0     0     0 108052 29910 69 14 17  0  0  0 2026-09-21 18:41:17
 2  0      0 12949500  21424 391124    0    0     0     0 99475 30483 70 12 18  0  0  0 2026-09-21 18:41:18
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 8  0      0 12618564  21424 391388    0    0     0     0 109980 35110 68 14 18  0  0  0 2026-09-21 18:41:19
 8  0      0 12145800  21424 391588    0    0     0     0 110904 26130 71 14 15  0  0  0 2026-09-21 18:41:20
 9  0      0 12003252  21424 391792    0    0     0     0 99887 33160 70 13 17  0  0  0 2026-09-21 18:41:21
 8  0      0 11708168  21424 391992    0    0     0     0 101150 31769 69 14 17  0  0  0 2026-09-21 18:41:22
 8  0      0 11370148  21424 392216    0    0     0   116 101556 29556 71 14 16  0  0  0 2026-09-21 18:41:23
 1  0      0 11138588  21424 392376    0    0     0     0 104193 26475 72 13 15  0  0  0 2026-09-21 18:41:24
 9  0      0 10996528  21424 392532    0    0     0     0 99069 26613 73 12 15  0  0  0 2026-09-21 18:41:25
 8  0      0 10763680  21424 392664    0    0     0     0 99275 26972 74 13 13  0  0  0 2026-09-21 18:41:26
 3  0      0 10406888  21424 392852    0    0     0     0 102334 16630 77 13  9  0  0  0 2026-09-21 18:41:27
 8  0      0 10188668  21424 393040    0    0     0     0 100684 21068 76 12 12  0  0  0 2026-09-21 18:41:28
 8  0      0 10062780  21424 393128    0    0     0     0 92053 20051 79 12  9  0  0  0 2026-09-21 18:41:29
 9  0      0 10060936  21424 393320    0    0     0     4 87290 23322 76 11 13  0  0  0 2026-09-21 18:41:30
 8  0      0 9920612  21424 393380    0    0     0     0 104727 25627 72 13 15  0  0  0 2026-09-21 18:41:31
 8  0      0 9528516  21424 393552    0    0     0     0 96952 11062 81 13  5  0  0  0 2026-09-21 18:41:32
 6  0      0 9276980  21424 393712    0    0     0     0 97760 17382 78 12  9  0  0  0 2026-09-21 18:41:33
 8  0      0 9275960  21424 393768    0    0     0     0 95588 29338 73 12 15  0  0  0 2026-09-21 18:41:34
 9  0      0 9275736  21424 393876    0    0     0     0 85521 17436 79 11 10  0  0  0 2026-09-21 18:41:35
 8  0      0 9146488  21424 394028    0    0     0     0 87323 14504 81 11  7  0  0  0 2026-09-21 18:41:36
 9  0      0 9145216  21424 394072    0    0     0     0 82045 13508 82 11  7  0  0  0 2026-09-21 18:41:37
 8  0      0 9115272  21424 394200    0    0     0     0 100969 23908 74 13 13  0  0  0 2026-09-21 18:41:38
 8  0      0 8924760  21424 394236    0    0     0     0 93308 14233 83 11  7  0  0  0 2026-09-21 18:41:39
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 8  0      0 8608072  21424 394324    0    0     0     0 91418 9704 83 12  5  0  0  0 2026-09-21 18:41:40
 8  0      0 8594164  21424 394428    0    0     0     0 98790 22118 76 13 11  0  0  0 2026-09-21 18:41:41
 6  0      0 8287488  21424 394588    0    0     0     0 86161 5862 88 11  2  0  0  0 2026-09-21 18:41:42
 8  0      0 8240764  21424 394700    0    0     0     0 80109 11359 82 10  8  0  0  0 2026-09-21 18:41:43
 8  0      0 8094792  21424 394712    0    0     0     0 103672 24636 75 13 13  0  0  0 2026-09-21 18:41:44
 8  0      0 8078884  21432 394828    0    0     0    20 78661 20537 82  9  9  0  0  0 2026-09-21 18:41:45
 8  0      0 8077676  21432 394840    0    0     0     0 89039 12383 83 12  6  0  0  0 2026-09-21 18:41:46
 5  0      0 7633684  21432 395048    0    0     0     0 97566 12307 83 12  5  0  0  0 2026-09-21 18:41:47
 6  0      0 7632956  21432 395100    0    0     0     0 98510 31915 71 13 16  0  0  0 2026-09-21 18:41:48
 8  0      0 7226984  21432 395156    0    0     0     0 82000 6903 84 11  4  0  0  0 2026-09-21 18:41:49
 8  0      0 7226492  21432 395232    0    0     0     0 73682 3326 90  9  1  0  0  0 2026-09-21 18:41:50
 8  0      0 7226016  21432 395336    0    0     0     0 93813 20974 78 11 10  0  0  0 2026-09-21 18:41:51
 8  0      0 7226016  21432 395440    0    0     0     0 73897 10307 86  9  5  0  0  0 2026-09-21 18:41:52
 9  0      0 7225792  21432 395460    0    0     0     0 89337 16385 78 11 11  0  0  0 2026-09-21 18:41:53
 8  0      0 7142892  21432 395468    0    0     0     0 80393 18957 81  9  9  0  0  0 2026-09-21 18:41:54
 7  0      0 7095520  21432 395504    0    0     0     0 96557 10633 82 12  6  0  0  0 2026-09-21 18:41:55
 8  0      0 6904004  21432 395660    0    0     0     0 76861 8479 87  8  5  0  0  0 2026-09-21 18:41:56
 8  0      0 6903032  21432 395800    0    0     0     0 83262 4491 88 11  1  0  0  0 2026-09-21 18:41:57
