COMMAND                   AVG_CPU%
nginx                        133.7
pidstat                        0.5
rcu_sched                      0.2
landscape-sysin                0.2
kworker/u8:2-kvfree_rcu_reclaim       0.1
kworker/1:2-events             0.1
kworker/0:3-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd-logind                 0.0
systemd                        0.0
sshd                           0.0
polkitd                        0.0
multipathd                     0.0
