COMMAND                   AVG_CPU%
isuride                      100.4
pidstat                        0.5
rcu_sched                      0.2
landscape-sysin                0.2
sh                             0.1
mysql                          0.1
kworker/0:3-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
multipathd                     0.0
kworker/u8:1-events_power_efficient       0.0
kworker/u8:0-events_power_efficient       0.0
