procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 2898712  25336 415092    0    0   124   120 5058   17  8  4 88  0  0  0 2026-09-21 22:58:09
 0  0      0 2894768  25336 415060    0    0     0     0 1087 1284  4  2 94  0  0  0 2026-09-21 22:58:10
 0  0      0 2870576  25336 415064    0    0     0     0 1239 1143  7  3 90  0  0  0 2026-09-21 22:58:11
 0  0      0 2890684  25336 415064    0    0     0     0 2719 3526  5  3 93  0  0  0 2026-09-21 22:58:12
 0  0      0 2890460  25336 415064    0    0     0     0 2151 2508  3  3 95  0  0  0 2026-09-21 22:58:13
 0  0      0 2890460  25336 415020    0    0     0     0 5022 6599  4  3 93  0  0  0 2026-09-21 22:58:14
 0  0      0 2898524  25336 415020    0    0     0    28 5182 6081  4  3 93  0  0  0 2026-09-21 22:58:15
 0  0      0 2896760  25344 414972    0    0     0    48 8326 9991  6  5 89  0  1  0 2026-09-21 22:58:16
 0  0      0 3000308  25344 414952    0    0     0     0 11495 13765  9  6 85  0  0  0 2026-09-21 22:58:17
 3  0      0 3046004  25344 414860    0    0     0  3808 9683 11027  7  5 88  0  0  0 2026-09-21 22:58:18
 1  0      0 3084724  25344 414692    0    0     0     0 14967 17151  9  7 84  0  0  0 2026-09-21 22:58:19
 0  0      0 3097364  25344 413188    0    0     0     0 13025 14782 10  6 84  0  0  0 2026-09-21 22:58:20
 0  0      0 3104840  25344 412804    0    0     0     0 18680 19923 12  8 79  0  0  0 2026-09-21 22:58:21
 0  0      0 3105388  25344 412212    0    0     0     8 19949 21460 15  9 76  0  0  0 2026-09-21 22:58:22
 1  0      0 3109344  25344 411956    0    0     0     0 22106 24085 16 11 73  0  0  0 2026-09-21 22:58:23
 4  0      0 3108176  25344 411900    0    0     0     0 30958 30693 23 14 63  0  0  0 2026-09-21 22:58:24
 1  0      0 3104968  25344 411880    0    0     0     0 31331 32211 26 16 59  0  0  0 2026-09-21 22:58:25
 3  0      0 3097144  25344 411876    0    0     0     0 36424 36075 31 19 49  0  0  0 2026-09-21 22:58:26
 4  0      0 3092848  25344 411880    0    0     0     0 37659 34972 30 19 51  0  0  0 2026-09-21 22:58:27
 1  0      0 3083532  25344 411876    0    0     0     0 38133 34711 33 21 46  0  0  0 2026-09-21 22:58:28
 4  0      0 3078548  25344 411876    0    0     0     0 39235 35590 34 20 46  0  0  0 2026-09-21 22:58:29
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 4  0      0 3068188  25344 411868    0    0     0     0 38864 33721 36 19 45  0  0  0 2026-09-21 22:58:30
 1  0      0 3061944  25344 411964    0    0     0     0 39011 34401 34 24 43  0  0  0 2026-09-21 22:58:31
 3  0      0 3053664  25344 412172    0    0     0     0 36024 33038 37 19 44  0  0  0 2026-09-21 22:58:32
 4  0      0 3043668  25344 412412    0    0     0  1624 38092 28407 39 22 39  1  0  0 2026-09-21 22:58:33
 4  0      0 3035912  25344 412604    0    0     0     0 40279 29650 41 23 36  0  0  0 2026-09-21 22:58:34
 4  0      0 3023204  25344 412960    0    0     0     0 40527 26966 47 21 32  0  0  0 2026-09-21 22:58:35
 2  0      0 3014416  25344 412996    0    0     0     0 38316 25933 40 22 38  0  0  0 2026-09-21 22:58:36
 4  0      0 3004316  25344 413528    0    0     0     0 37986 22357 51 24 26  0  0  0 2026-09-21 22:58:37
 0  0      0 2987404  25344 413528    0    0     0  2564 37237 22832 46 20 34  0  0  0 2026-09-21 22:58:38
 3  0      0 2979872  25344 413744    0    0     0     0 38246 20381 48 23 29  0  0  0 2026-09-21 22:58:39
 0  0      0 2971400  25344 413900    0    0     0     0 34944 17459 54 20 26  0  0  0 2026-09-21 22:58:40
 2  0      0 2964972  25344 414172    0    0     0     0 37273 19590 49 22 28  0  0  0 2026-09-21 22:58:41
 4  0      0 2931508  25344 414392    0    0     0     0 31089 13742 65 23 12  0  0  0 2026-09-21 22:58:42
 4  0      0 2922212  25344 414648    0    0     0    12 37777 17324 56 26 18  0  0  0 2026-09-21 22:58:43
 2  0      0 2915352  25344 414652    0    0     0     0 38398 16208 53 25 22  0  0  0 2026-09-21 22:58:44
 0  0      0 2913196  25344 414756    0    0     0     0 36925 19413 50 24 25  0  0  0 2026-09-21 22:58:45
 0  0      0 2913084  25352 414832    0    0     0    48 37308 8541 64 27  9  0  0  0 2026-09-21 22:58:46
 3  0      0 2910412  25352 414968    0    0     0    36 37242 16611 54 25 21  0  0  0 2026-09-21 22:58:47
 2  0      0 2909668  25352 414968    0    0     0     0 39250 17282 57 23 20  0  0  0 2026-09-21 22:58:48
 2  0      0 2908096  25352 415144    0    0     0     0 37473 20703 52 24 24  0  0  0 2026-09-21 22:58:49
 5  0      0 2907272  25352 415280    0    0     0     0 35324 17115 54 25 21  0  0  0 2026-09-21 22:58:50
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 3  0      0 2907872  25352 415476    0    0     0     0 37189 8325 63 29  9  0  0  0 2026-09-21 22:58:51
 2  0      0 2904044  25352 415476    0    0     0     0 38509 17216 53 24 23  0  0  0 2026-09-21 22:58:52
 1  0      0 2902280  25352 415484    0    0     0    20 38224 18266 53 27 20  0  0  0 2026-09-21 22:58:53
 0  0      0 2902028  25352 415664    0    0     0     0 36378 19798 50 23 27  0  0  0 2026-09-21 22:58:54
 3  0      0 2902028  25352 415816    0    0     0     0 35453 18076 53 23 23  0  0  0 2026-09-21 22:58:55
 0  0      0 2902028  25352 415836    0    0     0     0 35360 14727 56 26 18  0  0  0 2026-09-21 22:58:56
 2  0      0 2901272  25352 416096    0    0     0     0 34253 19226 49 26 25  0  0  0 2026-09-21 22:58:57
 2  0      0 2899820  25384 416096    0    0     0  3644 38468 16180 57 27 16  0  0  0 2026-09-21 22:58:58
 2  0      0 2891196  25384 416096    0    0     0     0 37679 12062 59 28 13  0  0  0 2026-09-21 22:58:59
 4  0      0 2887932  25384 416208    0    0     0     0 39286 7868 64 28  9  0  0  0 2026-09-21 22:59:00
 2  0      0 2887416  25392 416232    0    0     0    40 38298 17964 52 27 22  0  0  0 2026-09-21 22:59:01
 3  0      0 2885908  25392 416448    0    0     0     0 36286 18943 51 25 24  0  0  0 2026-09-21 22:59:02
 2  0      0 2883136  25392 416524    0    0     0     0 34755 14037 58 24 19  0  0  0 2026-09-21 22:59:03
 2  0      0 2875360  25392 416684    0    0     0   900 37536 13028 58 28 14  0  0  0 2026-09-21 22:59:04
 2  0      0 2872852  25392 416800    0    0     0     0 37642 22588 52 23 25  0  0  0 2026-09-21 22:59:05
 3  0      0 2872400  25392 416760    0    0     0     0 38620 11636 57 29 13  0  0  0 2026-09-21 22:59:06
 3  0      0 2864372  25392 416760    0    0     0     0 35557 6785 62 29  9  0  0  0 2026-09-21 22:59:07
 2  0      0 2851592  25400 416828    0    0     0   160 32438 12716 58 26 16  0  0  0 2026-09-21 22:59:08
 2  0      0 2849612  25400 416828    0    0     0     0 39328 17817 54 24 22  0  0  0 2026-09-21 22:59:09
 0  0      0 2848616  25400 417044    0    0     0     0 38665 13389 58 27 15  0  0  0 2026-09-21 22:59:10
 2  0      0 2847944  25400 417256    0    0     0     0 37354 10839 62 27 12  0  0  0 2026-09-21 22:59:11
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0      0 2847236  25400 417256    0    0     0     0 38416 24484 44 24 32  0  0  0 2026-09-21 22:59:12
 0  0      0 2845220  25400 417256    0    0     0     0 13418 13341 20  6 74  0  0  0 2026-09-21 22:59:13
 0  0      0 2844464  25400 417256    0    0     0  3684  696  801  2  1 96  1  0  0 2026-09-21 22:59:14
 0  0      0 2844464  25400 417256    0    0     0     0  735  896  2  2 96  0  0  0 2026-09-21 22:59:15
 0  0      0 2844464  25400 417256    0    0     0     0  769  909  2  2 97  0  0  0 2026-09-21 22:59:16
 0  0      0 2844464  25400 417256    0    0     0     0  710  823  2  2 97  0  0  0 2026-09-21 22:59:17
