COMMAND                   AVG_CPU%
nginx                        142.8
landscape-sysin                0.8
pidstat                        0.6
rcu_sched                      0.1
kworker/u8:2-events_power_efficient       0.1
kworker/u8:0-ext4-rsv-conversion       0.1
kworker/1:2-events             0.1
kworker/0:3-events             0.1
ksoftirqd/0                    0.1
udisksd                        0.0
systemd-logind                 0.0
systemd                        0.0
sshd                           0.0
polkitd                        0.0
kworker/u8:3-events_power_efficient       0.0
