COMMAND                   AVG_CPU%
mysqld                       103.4
pidstat                        0.4
jbd2/nvme0n1p1-8               0.2
snapd                          0.0
rcu_sched                      0.0
kworker/u8:2-ext4-rsv-conversion       0.0
kworker/u8:2-events_power_efficient       0.0
kworker/u8:1-events_unbound       0.0
kworker/u8:0-events_unbound       0.0
kworker/u8:0-events_power_efficient       0.0
kworker/1:0-events             0.0
kworker/0:3-events             0.0
ksoftirqd/0                    0.0
