COMMAND                   AVG_CPU%
nginx                        112.7
landscape-sysin                1.0
pidstat                        0.5
rcu_sched                      0.2
kworker/1:2-events             0.1
kworker/0:3-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
polkitd                        0.0
kworker/u8:1-kvfree_rcu_reclaim       0.0
kworker/u8:1-events_power_efficient       0.0
