COMMAND                   AVG_CPU%
isuride                       90.3
pidstat                        0.5
landscape-sysin                0.3
rcu_sched                      0.1
mysql                          0.1
kworker/0:0-events             0.1
ksoftirqd/1                    0.1
udisksd                        0.0
systemd                        0.0
sh                             0.0
ModemManager                   0.0
kworker/u8:1-events_power_efficient       0.0
kworker/1:3-events             0.0
ksoftirqd/0                    0.0
