+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+-------+-------+-----+-----+
| COUNT | METHOD |                 URI                  |  MIN  |  AVG  |  MAX  |   SUM    |  P99  |  2XX  |  3XX  | 4XX | 5XX |
+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+-------+-------+-----+-----+
| 51524 | POST   | /api/chair/coordinate                | 0.003 | 0.050 | 0.284 | 2584.134 | 0.144 | 51524 | 0     | 0   | 0   |
| 77517 | GET    | /api/chair/notification              | 0.001 | 0.020 | 0.296 | 1554.507 | 0.098 | 77517 | 0     | 0   | 0   |
| 83019 | GET    | /api/app/notification                | 0.001 | 0.019 | 0.239 | 1546.252 | 0.095 | 83019 | 0     | 0   | 0   |
| 1219  | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.033 | 0.598 | 2.403 | 729.463  | 2.244 | 1219  | 0     | 0   | 0   |
| 2549  | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.003 | 0.050 | 0.206 | 127.795  | 0.145 | 2549  | 0     | 0   | 0   |
| 1779  | GET    | /api/app/rides                       | 0.001 | 0.053 | 0.251 | 94.268   | 0.191 | 1779  | 0     | 0   | 0   |
| 1420  | POST   | /api/app/rides                       | 0.003 | 0.061 | 0.200 | 86.596   | 0.164 | 1420  | 0     | 0   | 0   |
| 1424  | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.036 | 0.222 | 50.743   | 0.144 | 1424  | 0     | 0   | 0   |
| 162   | GET    | /api/owner/sales                     | 0.008 | 0.228 | 0.669 | 36.882   | 0.665 | 162   | 0     | 0   | 0   |
| 78    | GET    | /api/internal/matching               | 0.001 | 0.356 | 3.281 | 27.767   | 3.281 | 78    | 0     | 0   | 0   |
| 1777  | GET    | /api/app/nearby-chairs               | 0.001 | 0.014 | 0.178 | 24.272   | 0.080 | 1776  | 0     | 1   | 0   |
| 387   | POST   | /api/app/payment-methods             | 0.001 | 0.035 | 0.204 | 13.516   | 0.141 | 387   | 0     | 0   | 0   |
| 388   | POST   | /api/app/users                       | 0.001 | 0.031 | 0.123 | 11.988   | 0.100 | 388   | 0     | 0   | 0   |
| 277   | POST   | /api/chair/activity                  | 0.004 | 0.039 | 0.151 | 10.862   | 0.142 | 277   | 0     | 0   | 0   |
| 280   | POST   | /api/chair/chairs                    | 0.001 | 0.038 | 0.243 | 10.601   | 0.132 | 280   | 0     | 0   | 0   |
| 166   | GET    | /api/owner/chairs                    | 0.001 | 0.028 | 0.127 | 4.575    | 0.116 | 166   | 0     | 0   | 0   |
| 1     | POST   | /api/initialize                      | 1.994 | 1.994 | 1.994 | 1.994    | 1.994 | 1     | 0     | 0   | 0   |
| 1     | GET    | /api/owner/sales?                    | 0.039 | 0.039 | 0.039 | 0.039    | 0.039 | 1     | 0     | 0   | 0   |
| 5     | POST   | /api/owner/owners                    | 0.001 | 0.001 | 0.002 | 0.005    | 0.002 | 5     | 0     | 0   | 0   |
| 1     | GET    | /index.html                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1     | 0     | 0   | 0   |
| 171   | GET    | ^/owner.*                            | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 6     | 165   | 0   | 0   |
| 3554  | GET    | /favicon.ico                         | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 394   | 3160  | 0   | 0   |
| 1     | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1     | 0     | 0   | 0   |
| 3554  | GET    | /favicon-32x32.png                   | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 394   | 3160  | 0   | 0   |
| 30458 | GET    | ^/images/.+                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 3503  | 26955 | 0   | 0   |
| 1     | GET    | /favicon-128x128.png                 | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1     | 0     | 0   | 0   |
| 62448 | GET    | ^/assets/.+                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 9058  | 53390 | 0   | 0   |
| 3384  | GET    | ^/client.*                           | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 389   | 2995  | 0   | 0   |
+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+-------+-------+-----+-----+
