COMMAND                   AVG_CPU%
isuride                       97.8
pidstat                        0.4
sh                             0.1
rcu_sched                      0.1
mysql                          0.1
kworker/0:3-events             0.1
ksoftirqd/0                    0.1
systemd-journal                0.0
kworker/u8:3-events_power_efficient       0.0
kworker/u8:2-events_power_efficient       0.0
kworker/1:0-events             0.0
ksoftirqd/1                    0.0
cron                           0.0
