COMMAND                   AVG_CPU%
mysqld                        92.6
pidstat                        0.4
jbd2/nvme0n1p1-8               0.3
vmstat                         0.0
systemd-logind                 0.0
ModemManager                   0.0
kworker/u8:4-events_unbound       0.0
kworker/u8:3-events_power_efficient       0.0
kworker/u8:1-events_unbound       0.0
kworker/u8:1-events_power_efficient       0.0
kworker/u8:0-flush-259:0       0.0
kworker/u8:0-events_unbound       0.0
kworker/1:1H-kblockd           0.0
kworker/1:0-mm_percpu_wq       0.0
kworker/1:0-events             0.0
