COMMAND                   AVG_CPU%
nginx                        117.3
pidstat                        0.5
rcu_sched                      0.2
kworker/1:0-events             0.1
kworker/0:1-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-journal                0.0
systemd                        0.0
multipathd                     0.0
kworker/u8:4-events_power_efficient       0.0
kworker/u8:2-events_power_efficient       0.0
dbus-daemon                    0.0
