COMMAND                   AVG_CPU%
isuride                       99.6
pidstat                        0.5
rcu_sched                      0.2
sh                             0.1
mysql                          0.1
kworker/1:1-events             0.1
kworker/0:1-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-journal                0.0
rsyslogd                       0.0
multipathd                     0.0
kworker/u8:4-ext4-rsv-conversion       0.0
dbus-daemon                    0.0
