COMMAND                   AVG_CPU%
nginx                        115.8
pidstat                        0.5
rcu_sched                      0.2
kworker/1:2-events             0.1
kworker/0:4-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-logind                 0.0
systemd                        0.0
sshd                           0.0
polkitd                        0.0
multipathd                     0.0
ModemManager                   0.0
kworker/u8:5-kvfree_rcu_reclaim       0.0
kworker/u8:4-kvfree_rcu_reclaim       0.0
