procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6728756  34116 823716    0    0   245   268 2541    9  1  0 98  0  0  0 2026-09-21 16:09:44
 0  0      0 6704072  34116 823748    0    0     0     0 2268 2223  3  2 95  0  0  0 2026-09-21 16:09:45
 0  0      0 6705572  34116 823748    0    0     0     0   52   73  0  0 100  0  0  0 2026-09-21 16:09:46
 2  0      0 6711840  34116 823748    0    0     0     0 8125 11018  3  1 95  0  0  0 2026-09-21 16:09:47
 1  0      0 6710076  34116 823748    0    0     0     0 14933 22626  4  2 94  0  0  0 2026-09-21 16:09:48
 0  0      0 6709668  34116 823748    0    0     0     0 20687 30759  6  3 91  0  0  0 2026-09-21 16:09:49
 0  0      0 6706080  34116 823748    0    0     0     0 19887 29587  5  2 93  0  0  0 2026-09-21 16:09:50
 0  0      0 6696700  34116 823748    0    0     0     0 21559 30543  6  3 91  0  0  0 2026-09-21 16:09:51
 0  0      0 6694936  34116 823748    0    0     0     0 19737 28569  4  2 95  0  0  0 2026-09-21 16:09:52
 2  0      0 6687744  34116 823748    0    0     0     0 19149 26736  5  2 93  0  0  0 2026-09-21 16:09:53
 0  0      0 6686484  34116 823748    0    0     0     0 18926 27069  4  2 94  0  0  0 2026-09-21 16:09:54
 0  0      0 6678672  34116 823748    0    0     0     0 21607 30108  6  2 92  0  0  0 2026-09-21 16:09:55
 1  0      0 6672480  34116 823764    0    0     0     0 20868 29488  5  2 93  0  0  0 2026-09-21 16:09:56
 0  0      0 6671876  34116 823764    0    0     0     0 18461 26127  5  2 92  0  0  0 2026-09-21 16:09:57
 0  0      0 6671532  34116 823764    0    0     0     0 18088 25655  4  2 94  0  0  0 2026-09-21 16:09:58
 0  0      0 6663560  34116 823780    0    0     0     0 17451 24776  3  2 95  0  0  0 2026-09-21 16:09:59
 0  0      0 6659860  34116 823780    0    0     0     0 19041 27086  5  2 92  0  0  0 2026-09-21 16:10:00
 0  0      0 6658268  34116 823784    0    0     0     0 16759 24090  4  2 95  0  0  0 2026-09-21 16:10:01
 0  0      0 6656320  34116 823784    0    0     0  3656 19624 28012  6  2 92  0  0  0 2026-09-21 16:10:02
 0  0      0 6655748  34116 823784    0    0     0     0 16727 24205  4  2 94  0  0  0 2026-09-21 16:10:03
 0  0      0 6653984  34116 823784    0    0     0     0 17033 24363  3  2 95  0  0  0 2026-09-21 16:10:04
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6649148  34116 823784    0    0     0     0 18179 26066  4  2 94  0  0  0 2026-09-21 16:10:05
 0  0      0 6645500  34116 823784    0    0     0     0 15740 22528  5  2 94  0  0  0 2026-09-21 16:10:06
 0  0      0 6644400  34116 823784    0    0     0     0 16837 24035  4  2 95  0  0  0 2026-09-21 16:10:07
 0  0      0 6643988  34116 823788    0    0     0     0 17725 25495  4  2 95  0  0  0 2026-09-21 16:10:08
 3  0      0 6639196  34116 823788    0    0     0     0 17345 24749  4  2 94  0  0  0 2026-09-21 16:10:09
 0  0      0 6632968  34116 823788    0    0     0     0 16277 23187  5  2 94  0  0  0 2026-09-21 16:10:10
 0  0      0 6631800  34116 823788    0    0     0     0 17972 26091  4  2 95  0  0  0 2026-09-21 16:10:11
 0  0      0 6631560  34116 823788    0    0     0     0 15115 21979  3  1 96  0  0  0 2026-09-21 16:10:12
 0  0      0 6630300  34116 823788    0    0     0     0 17903 25722  5  3 93  0  0  0 2026-09-21 16:10:13
 0  0      0 6620228  34116 823788    0    0     0     0 17080 24216  5  2 93  0  0  0 2026-09-21 16:10:14
 0  0      0 6620220  34124 823788    0    0     0   116 16377 23778  4  2 95  0  0  0 2026-09-21 16:10:15
 1  0      0 6619876  34124 823788    0    0     0     0 16619 23399  4  2 94  0  0  0 2026-09-21 16:10:16
 0  0      0 6619716  34124 823804    0    0     0  3484 17290 24720  4  2 94  0  0  0 2026-09-21 16:10:17
 0  0      0 6619200  34124 823804    0    0     0     0 16499 23604  4  2 94  0  0  0 2026-09-21 16:10:18
 0  0      0 6613164  34124 823808    0    0     0     0 15336 22038  3  2 95  0  0  0 2026-09-21 16:10:19
 0  0      0 6604596  34124 823808    0    0     0     0 18120 25422  5  2 93  0  0  0 2026-09-21 16:10:20
 0  0      0 6604596  34124 823824    0    0     0     0 15693 22700  4  2 95  0  0  0 2026-09-21 16:10:21
 0  0      0 6603588  34124 823840    0    0     0     0 17127 24680  3  2 95  0  0  0 2026-09-21 16:10:22
 0  0      0 6601320  34124 823852    0    0     0     0 16928 24138  4  2 94  0  0  0 2026-09-21 16:10:23
 4  0      0 6600644  34124 823852    0    0     0     0 17261 24271  5  2 93  0  0  0 2026-09-21 16:10:24
 0  0      0 6599968  34124 823852    0    0     0     0 17040 24576  5  2 94  0  0  0 2026-09-21 16:10:25
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6599808  34124 823856    0    0     0     0 17507 25336  4  2 94  0  0  0 2026-09-21 16:10:26
 1  0      0 6598444  34124 823860    0    0     0     0 15932 22745  4  2 95  0  0  0 2026-09-21 16:10:27
 2  0      0 6598296  34124 823860    0    0     0     0 15514 22489  3  2 95  0  0  0 2026-09-21 16:10:28
 0  0      0 6594376  34124 823860    0    0     0     0 16792 23829  5  2 93  0  0  0 2026-09-21 16:10:29
 0  0      0 6594012  34124 823860    0    0     0     0 16893 24338  3  2 95  0  0  0 2026-09-21 16:10:30
 0  0      0 6592500  34124 823860    0    0     0     0 17960 25178  4  2 95  0  0  0 2026-09-21 16:10:31
