COMMAND                   AVG_CPU%
mysqld                       124.9
pidstat                        0.4
jbd2/nvme0n1p1-8               0.2
vmstat                         0.0
udisksd                        0.0
systemd-logind                 0.0
kworker/u8:3-writeback         0.0
kworker/u8:3-events_unbound       0.0
kworker/u8:1-events_power_efficient       0.0
kworker/u8:0-events_unbound       0.0
kworker/u8:0-events_power_efficient       0.0
kworker/1:3-events             0.0
kworker/0:0-events             0.0
irqbalance                     0.0
dbus-daemon                    0.0
