procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 1487936 103836 2008504    0    0   173  2221 8943   53 22 10 67  1  0  0 2026-09-21 16:43:34
 1  0      0 1487692 103836 2008436    0    0     0     0 1355 1502  6  3 91  0  0  0 2026-09-21 16:43:35
 1  0      0 1466408 103836 2008448    0    0     0     0  693  497  7  2 91  0  0  0 2026-09-21 16:43:36
 0  0      0 1481580 103836 2008448    0    0     0     0  649  527  6  1 93  0  0  0 2026-09-21 16:43:37
 0  0      0 1480740 103836 2008752    0    0     0     0 12054 12435 15  7 78  0  0  0 2026-09-21 16:43:38
 0  0      0 1478976 103836 2009032    0    0     0     0 12742 14243 12 10 78  0  0  0 2026-09-21 16:43:39
 0  0      0 1483980 103836 2009660    0    0     0     0 17320 20434 19 12 68  0  0  0 2026-09-21 16:43:40
 5  0      0 1481344 103836 2010388    0    0     0     0 19624 23634 22 15 63  0  0  0 2026-09-21 16:43:41
 3  0      0 1481532 103836 2011048    0    0     0     0 22278 25512 21 19 60  0  0  0 2026-09-21 16:43:42
 3  0      0 1483192 103836 2012040    0    0     0  3000 22621 24834 25 20 55  0  0  0 2026-09-21 16:43:43
 3  0      0 1481512 103836 2013060    0    0     0     0 25898 26987 29 23 48  0  0  0 2026-09-21 16:43:44
 2  0      0 1482008 103836 2013872    0    0     0     0 25277 26924 28 24 48  0  0  0 2026-09-21 16:43:45
 6  0      0 1479164 103836 2014820    0    0     0     0 29028 30296 29 25 46  0  0  0 2026-09-21 16:43:46
 4  0      0 1479636 103836 2016128    0    0     0     0 30509 30063 34 29 37  0  0  0 2026-09-21 16:43:47
 2  0      0 1476580 103836 2017340    0    0     0  4952 31623 29329 35 32 34  0  0  0 2026-09-21 16:43:48
 5  0      0 1476324 103836 2018360    0    0     0     0 30788 31591 37 29 34  0  0  0 2026-09-21 16:43:49
 3  0      0 1476332 103836 2019692    0    0     0     0 33498 32241 39 33 28  0  0  0 2026-09-21 16:43:50
 1  0      0 1476080 103836 2021040    0    0     0     0 33997 32602 39 35 26  0  0  0 2026-09-21 16:43:51
 6  0      0 1474820 103836 2022428    0    0     0     0 32656 30137 44 34 22  0  0  0 2026-09-21 16:43:52
 7  0      0 1474820 103836 2023576    0    0     0  6364 33110 30290 40 35 24  1  0  0 2026-09-21 16:43:53
 1  0      0 1475524 103836 2025076    0    0     0     0 33766 29489 44 36 19  0  0  0 2026-09-21 16:43:54
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 6  0      0 1472752 103836 2026620    0    0     0     0 34747 27568 45 37 18  0  0  0 2026-09-21 16:43:55
 6  0      0 1472232 103836 2028256    0    0     0     0 36870 27608 44 41 15  0  0  0 2026-09-21 16:43:56
 5  0      0 1468740 103836 2029944    0    0     0     0 32671 24844 46 39 14  0  0  0 2026-09-21 16:43:57
 6  0      0 1468552 103836 2031584    0    0     0  7824 32866 22666 48 41 12  0  0  0 2026-09-21 16:43:58
 4  0      0 1465312 103836 2033232    0    0     0     0 33615 21630 50 39 11  0  0  0 2026-09-21 16:43:59
 4  0      0 1462264 103836 2035224    0    0     0     0 33640 18259 52 41  8  0  0  0 2026-09-21 16:44:00
 3  0      0 1457676 103836 2036928    0    0     0     0 32608 20494 49 41 10  0  0  0 2026-09-21 16:44:01
 4  0      0 1455224 103836 2038628    0    0     0   164 33475 22077 46 42 11  0  0  0 2026-09-21 16:44:02
 4  0      0 1454844 103836 2040212    0    0     0 19336 35267 17053 52 42  6  1  0  0 2026-09-21 16:44:03
 5  0      0 1455496 103836 2041988    0    0     0     4 32737 20957 48 43  9  0  0  0 2026-09-21 16:44:04
 4  0      0 1449984 103836 2043792    0    0     0     0 32313 16736 50 42  8  0  0  0 2026-09-21 16:44:05
