COMMAND                   AVG_CPU%
nginx                        106.6
landscape-sysin                0.7
pidstat                        0.5
rcu_sched                      0.1
kworker/1:1-events             0.1
kworker/0:0-events             0.1
udisksd                        0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
rsyslogd                       0.0
kworker/u8:4-events_power_efficient       0.0
kworker/u8:3-kvfree_rcu_reclaim       0.0
kworker/u8:3-flush-259:0       0.0
kworker/u8:3-ext4-rsv-conversion       0.0
