COMMAND                   AVG_CPU%
isuride                       79.4
pidstat                        0.4
rcu_sched                      0.1
mysql                          0.1
systemd-journal                0.0
sshd                           0.0
sh                             0.0
multipathd                     0.0
kworker/u8:3-events_power_efficient       0.0
kworker/u8:1-events_power_efficient       0.0
kworker/u8:0-events_power_efficient       0.0
kworker/1:0-events             0.0
kworker/0:2-events             0.0
ksoftirqd/1                    0.0
ksoftirqd/0                    0.0
