procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6730684  33852 823244    0    0   437   404 1375    4  1  0 98  1  0  0 2026-09-21 15:56:00
 0  0      0 6706864  33852 823276    0    0     0     0 2273 2418  3  2 95  0  0  0 2026-09-21 15:56:01
 0  0      0 6710164  33852 823276    0    0     0     0  190  132  0  0 100  0  0  0 2026-09-21 15:56:02
 0  0      0 6713700  33852 823276    0    0     0     0   30   41  0  0 100  0  0  0 2026-09-21 15:56:03
 0  0      0 6714872  33852 823276    0    0     0     0 11525 15366  4  2 94  0  0  0 2026-09-21 15:56:04
 0  0      0 6712152  33852 823276    0    0     0     0 12325 20265  2  1 96  0  0  0 2026-09-21 15:56:05
 0  0      0 6712696  33852 823276    0    0     0     0 11961 19842  3  1 97  0  0  0 2026-09-21 15:56:06
 0  0      0 6714008  33852 823276    0    0     0     0 11853 19142  2  1 97  0  0  0 2026-09-21 15:56:07
 0  0      0 6715668  33852 823276    0    0     0     0 12112 19296  3  1 96  0  0  0 2026-09-21 15:56:08
 0  0      0 6717032  33852 823276    0    0     0     0 11629 18375  3  1 96  0  0  0 2026-09-21 15:56:09
 0  0      0 6717192  33852 823276    0    0     0     0 11319 17782  2  1 97  0  0  0 2026-09-21 15:56:10
 0  0      0 6716184  33852 823276    0    0     0     0 11625 18079  2  1 97  0  0  0 2026-09-21 15:56:11
 0  0      0 6716184  33852 823276    0    0     0     0 11739 18090  2  1 97  0  0  0 2026-09-21 15:56:12
 0  0      0 6714636  33852 823276    0    0     0     0 10808 16600  2  1 97  0  0  0 2026-09-21 15:56:13
 0  0      0 6714168  33852 823276    0    0     0     0 10779 16210  2  1 97  0  0  0 2026-09-21 15:56:14
 0  0      0 6714168  33852 823276    0    0     0     0 10108 15363  2  1 97  0  0  0 2026-09-21 15:56:15
 0  0      0 6714168  33852 823276    0    0     0     4 11013 16429  3  1 96  0  0  0 2026-09-21 15:56:16
 4  0      0 6714168  33852 823276    0    0     0     0 11755 17622  3  2 96  0  0  0 2026-09-21 15:56:17
 0  0      0 6714168  33852 823276    0    0     0     0 11627 17812  2  1 97  0  0  0 2026-09-21 15:56:18
 0  0      0 6714168  33852 823276    0    0     0     0 10934 16271  2  1 97  0  0  0 2026-09-21 15:56:19
 0  0      0 6713412  33852 823276    0    0     0     0 11189 16785  3  1 96  0  0  0 2026-09-21 15:56:20
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6713160  33852 823276    0    0     0     0 11190 16616  2  1 97  0  0  0 2026-09-21 15:56:21
 0  0      0 6712644  33852 823276    0    0     0     0 10839 16223  2  1 97  0  0  0 2026-09-21 15:56:22
 0  0      0 6712152  33852 823276    0    0     0     0 10768 15963  2  1 97  0  0  0 2026-09-21 15:56:23
 0  0      0 6711808  33852 823276    0    0     0     0 10356 15182  2  1 97  0  0  0 2026-09-21 15:56:24
 0  0      0 6711648  33852 823276    0    0     0     0 10519 15508  2  1 97  0  0  0 2026-09-21 15:56:25
 0  0      0 6711304  33852 823276    0    0     0     0 11144 16765  2  1 97  0  0  0 2026-09-21 15:56:26
 0  0      0 6709128  33852 823276    0    0     0     0 10976 16396  2  1 96  0  0  0 2026-09-21 15:56:27
 0  0      0 6708624  33852 823276    0    0     0     0 11266 16582  3  1 96  0  0  0 2026-09-21 15:56:28
 0  0      0 6707868  33852 823292    0    0     0     0 10570 15512  2  1 97  0  0  0 2026-09-21 15:56:29
 0  0      0 6707100  33852 823292    0    0     0     0 10986 16016  3  1 96  0  0  0 2026-09-21 15:56:30
 0  0      0 6706356  33860 823292    0    0     0  6864 10481 15600  2  1 97  0  0  0 2026-09-21 15:56:31
 0  0      0 6706356  33860 823292    0    0     0     0 9997 14932  2  1 97  0  0  0 2026-09-21 15:56:32
 0  0      0 6702324  33860 823292    0    0     0     0 11119 16275  3  1 96  0  0  0 2026-09-21 15:56:33
 0  0      0 6702324  33860 823292    0    0     0     0 10280 15338  2  1 97  0  0  0 2026-09-21 15:56:34
 0  0      0 6702072  33860 823296    0    0     0     0 9891 14619  2  1 97  0  0  0 2026-09-21 15:56:35
 2  0      0 6701900  33860 823300    0    0     0     0 10276 15224  3  1 97  0  0  0 2026-09-21 15:56:36
 0  0      0 6697032  33860 823300    0    0     0     0 10891 16160  2  1 97  0  0  0 2026-09-21 15:56:37
 0  0      0 6696860  33860 823300    0    0     0     0 11247 16717  2  2 96  0  0  0 2026-09-21 15:56:38
 0  0      0 6696780  33860 823300    0    0     0     0 10503 15414  3  1 97  0  0  0 2026-09-21 15:56:39
 0  0      0 6695668  33860 823300    0    0     0     0 10436 15275  3  1 96  0  0  0 2026-09-21 15:56:40
 0  0      0 6692748  33860 823300    0    0     0     0 9944 14552  2  1 97  0  0  0 2026-09-21 15:56:41
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 6692232  33860 823300    0    0     0     0 10574 15476  3  1 96  0  0  0 2026-09-21 15:56:42
 1  0      0 6691992  33860 823300    0    0     0     0 10418 15541  2  1 97  0  0  0 2026-09-21 15:56:43
 0  0      0 6691304  33860 823300    0    0     0     0 11063 16290  2  1 97  0  0  0 2026-09-21 15:56:44
 0  0      0 6686196  33860 823300    0    0     0     0 10991 16140  3  1 96  0  0  0 2026-09-21 15:56:45
 2  0      0 6685440  33860 823300    0    0     0     0 11434 16772  3  2 96  0  0  0 2026-09-21 15:56:46
 0  0      0 6684764  33860 823300    0    0     0     0 10994 16181  3  1 97  0  0  0 2026-09-21 15:56:47
 0  0      0 6684180  33860 823300    0    0     0     0 10126 14879  2  1 97  0  0  0 2026-09-21 15:56:48
 0  0      0 6680604  33860 823300    0    0     0     0 10733 15864  3  2 96  0  0  0 2026-09-21 15:56:49
 0  0      0 6680400  33860 823300    0    0     0     0 10073 14929  2  1 98  0  0  0 2026-09-21 15:56:50
 0  0      0 6679472  33860 823300    0    0     0     0 10327 15170  3  1 97  0  0  0 2026-09-21 15:56:51
 0  0      0 6679392  33860 823300    0    0     0     0 10345 15317  2  1 97  0  0  0 2026-09-21 15:56:52
 0  0      0 6679048  33860 823300    0    0     0     0 10699 15966  2  1 97  0  0  0 2026-09-21 15:56:53
 1  0      0 6674856  33860 823300    0    0     0     0 10101 15101  2  1 96  0  0  0 2026-09-21 15:56:54
 0  0      0 6670240  33860 823316    0    0     0     0 10710 15984  3  1 96  0  0  0 2026-09-21 15:56:55
 0  0      0 6669736  33860 823316    0    0     0     0 10288 15190  3  1 96  0  0  0 2026-09-21 15:56:56
 0  0      0 6669576  33860 823316    0    0     0     0 9886 14603  3  1 97  0  0  0 2026-09-21 15:56:57
 0  0      0 6669404  33860 823316    0    0     0     0 10145 15187  2  1 97  0  0  0 2026-09-21 15:56:58
 0  0      0 6669324  33860 823316    0    0     0     0 9974 14850  2  1 97  0  0  0 2026-09-21 15:56:59
 0  0      0 6669152  33860 823316    0    0     0     0 9447 13920  2  1 98  0  0  0 2026-09-21 15:57:00
 0  0      0 6665612  33860 823316    0    0     0    28 9957 14620  2  1 97  0  0  0 2026-09-21 15:57:01
 0  0      0 6662512  33868 823320    0    0     0    48 10197 14906  3  1 96  0  0  0 2026-09-21 15:57:02
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6662272  33868 823320    0    0     0     0 10083 14877  2  1 97  0  0  0 2026-09-21 15:57:03
 0  0      0 6662020  33868 823320    0    0     0     0 9305 13664  2  1 97  0  0  0 2026-09-21 15:57:04
 0  0      0 6661768  33868 823320    0    0     0     0 9840 14856  2  1 97  0  0  0 2026-09-21 15:57:05
 0  0      0 6661768  33868 823320    0    0     0     0 10723 16474  2  1 97  0  0  0 2026-09-21 15:57:06
 0  0      0 6661768  33868 823320    0    0     0     0 10664 16285  2  1 97  0  0  0 2026-09-21 15:57:07
 0  0      0 6661768  33868 823320    0    0     0     0 9417 14013  2  1 97  0  0  0 2026-09-21 15:57:08
 1  0      0 6763436  33868 823320    0    0     0     0 8325 11740  3  1 96  0  0  0 2026-09-21 15:57:09
