procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6746340  34212 824124    0    0   209   247 3309   11  1  1 98  0  0  0 2026-09-21 16:15:13
 0  0      0 6733912  34212 824116    0    0     0     0 2454 2395  3  2 95  0  0  0 2026-09-21 16:15:14
 0  0      0 6733912  34212 824116    0    0     0     0   97  127  0  0 100  0  0  0 2026-09-21 16:15:15
 0  0      0 6732652  34212 824116    0    0     0     0 8642 11998  4  1 95  0  0  0 2026-09-21 16:15:16
 0  0      0 6730636  34212 824116    0    0     0     0 14685 23174  4  2 95  0  0  0 2026-09-21 16:15:17
 0  0      0 6726352  34220 824116    0    0     0    60 21441 32546  7  3 91  0  0  0 2026-09-21 16:15:18
 0  0      0 6718036  34220 824116    0    0     0     0 24686 35762  8  3 89  0  0  0 2026-09-21 16:15:19
 0  0      0 6700652  34220 824116    0    0     0     0 26642 38139  9  4 88  0  0  0 2026-09-21 16:15:20
 1  0      0 6696116  34220 824116    0    0     0     0 22974 33251  7  3 90  0  0  0 2026-09-21 16:15:21
 0  0      0 6684020  34220 824132    0    0     0     0 23709 33146  7  2 90  0  0  0 2026-09-21 16:15:22
 0  0      0 6683768  34220 824132    0    0     0     0 21943 31691  7  2 91  0  0  0 2026-09-21 16:15:23
 0  0      0 6680744  34220 824132    0    0     0     0 23898 33463  7  3 90  0  0  0 2026-09-21 16:15:24
 3  0      0 6675684  34220 824132    0    0     0     0 24394 34613  6  3 91  0  0  0 2026-09-21 16:15:25
 0  0      0 6672204  34220 824132    0    0     0     0 21890 30535  6  2 92  0  0  0 2026-09-21 16:15:26
 0  0      0 6662124  34220 824132    0    0     0     0 23512 32492  8  3 89  0  0  0 2026-09-21 16:15:27
 0  0      0 6661872  34220 824136    0    0     0     0 21187 29777  6  2 92  0  0  0 2026-09-21 16:15:28
 0  0      0 6654060  34220 824144    0    0     0     0 23619 32205  8  3 89  0  0  0 2026-09-21 16:15:29
 0  0      0 6653808  34220 824160    0    0     0     0 21457 29428  5  2 93  0  0  0 2026-09-21 16:15:30
 2  0      0 6638940  34220 824176    0    0     0     0 24541 34195  7  3 90  0  0  0 2026-09-21 16:15:31
 0  0      0 6627600  34220 824176    0    0     0     0 19281 26775  5  3 92  0  0  0 2026-09-21 16:15:32
 0  0      0 6625584  34220 824176    0    0     0     0 21770 31066  5  2 93  0  0  0 2026-09-21 16:15:33
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6623532  34220 824176    0    0     0     0 23931 33354  7  3 90  0  0  0 2026-09-21 16:15:34
 2  0      0 6616512  34220 824180    0    0     0     0 21611 29531  7  3 91  0  0  0 2026-09-21 16:15:35
 0  0      0 6615160  34220 824180    0    0     0     0 22482 31568  6  3 92  0  0  0 2026-09-21 16:15:36
 1  0      0 6615160  34220 824180    0    0     0     0 22275 31652  6  3 91  0  0  0 2026-09-21 16:15:37
 0  0      0 6604896  34220 824180    0    0     0     0 21910 30153  6  2 92  0  0  0 2026-09-21 16:15:38
 0  0      0 6601300  34220 824196    0    0     0     0 20294 27890  7  2 91  0  0  0 2026-09-21 16:15:39
 1  0      0 6599788  34220 824196    0    0     0     0 21108 29304  6  2 92  0  0  0 2026-09-21 16:15:40
 0  0      0 6599284  34220 824196    0    0     0     0 22262 30779  6  3 91  0  0  0 2026-09-21 16:15:41
 0  0      0 6585676  34220 824200    0    0     0     0 21348 29922  6  3 91  0  0  0 2026-09-21 16:15:42
 0  0      0 6581712  34220 824200    0    0     0     0 19878 27623  7  3 91  0  0  0 2026-09-21 16:15:43
 0  0      0 6581140  34220 824200    0    0     0  7400 20326 28808  5  2 93  0  0  0 2026-09-21 16:15:44
 1  0      0 6579628  34220 824204    0    0     0     4 21304 30378  6  3 91  0  0  0 2026-09-21 16:15:45
 3  0      0 6579628  34220 824204    0    0     0     0 19974 28262  5  2 93  0  0  0 2026-09-21 16:15:46
 0  0      0 6566272  34220 824220    0    0     0     0 21788 30173  7  3 90  0  0  0 2026-09-21 16:15:47
 0  0      0 6566272  34220 824224    0    0     0    32 19883 27884  6  2 93  0  0  0 2026-09-21 16:15:48
 0  0      0 6565768  34228 824244    0    0     0    28 18939 26966  5  2 93  0  0  0 2026-09-21 16:15:49
 0  0      0 6565768  34228 824264    0    0     0     0 19818 28155  5  2 93  0  0  0 2026-09-21 16:15:50
 0  0      0 6564840  34228 824264    0    0     0     0 21401 29769  6  3 91  0  0  0 2026-09-21 16:15:51
 0  0      0 6546364  34228 824264    0    0     0     0 20022 27554  7  3 90  0  0  0 2026-09-21 16:15:52
 0  0      0 6545860  34228 824268    0    0     0     0 19933 28170  5  2 92  0  0  0 2026-09-21 16:15:53
 0  0      0 6545608  34228 824268    0    0     0     0 20832 29276  6  2 92  0  0  0 2026-09-21 16:15:54
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6545608  34228 824288    0    0     0     0 21819 30876  6  3 92  0  0  0 2026-09-21 16:15:55
 1  0      0 6544600  34228 824304    0    0     0     0 21343 30028  6  3 91  0  0  0 2026-09-21 16:15:56
 0  0      0 6543620  34228 824304    0    0     0     0 19894 27558  6  2 93  0  0  0 2026-09-21 16:15:57
 0  0      0 6525728  34228 824304    0    0     0     0 18467 25319  6  2 92  0  0  0 2026-09-21 16:15:58
 0  0      0 6525224  34228 824304    0    0     0     0 17304 25236  3  2 95  0  0  0 2026-09-21 16:15:59
 0  0      0 6523712  34228 824304    0    0     0     0 18866 26718  4  2 94  0  0  0 2026-09-21 16:16:00
 0  0      0 6522028  34228 824308    0    0     0     0 19757 27264  6  2 92  0  0  0 2026-09-21 16:16:01
 0  0      0 6521948  34228 824308    0    0     0     0 21524 30224  5  2 93  0  0  0 2026-09-21 16:16:02
 1  0      0 6520688  34228 824308    0    0     0     0 18384 26078  5  2 93  0  0  0 2026-09-21 16:16:03
 2  0      0 6520688  34228 824308    0    0     0     0 18077 25785  4  2 94  0  0  0 2026-09-21 16:16:04
 0  0      0 6507588  34228 824324    0    0     0     0 22332 30849  8  3 89  0  0  0 2026-09-21 16:16:05
 0  0      0 6507164  34228 824324    0    0     0     0 16940 23126  5  2 94  0  0  0 2026-09-21 16:16:06
 1  0      0 6506580  34228 824324    0    0     0     0 19472 27235  6  2 92  0  0  0 2026-09-21 16:16:07
 2  0      0 6506580  34228 824324    0    0     0     0 17649 24974  5  2 93  0  0  0 2026-09-21 16:16:08
 0  0      0 6505572  34228 824324    0    0     0     0 19261 27017  5  2 92  0  0  0 2026-09-21 16:16:09
 2  0      0 6504024  34228 824324    0    0     0     0 18636 25552  6  2 92  0  0  0 2026-09-21 16:16:10
 0  0      0 6503304  34228 824324    0    0     0     0 19235 26950  6  2 92  0  0  0 2026-09-21 16:16:11
 0  0      0 6484656  34228 824324    0    0     0     0 18258 25050  4  2 93  0  0  0 2026-09-21 16:16:12
 0  0      0 6480372  34228 824324    0    0     0     0 18872 26611  7  2 91  0  0  0 2026-09-21 16:16:13
 0  0      0 6479364  34228 824328    0    0     0     0 18808 26323  6  2 92  0  0  0 2026-09-21 16:16:14
 0  0      0 6479364  34228 824328    0    0     0     0 18213 25626  5  2 94  0  0  0 2026-09-21 16:16:15
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 6478608  34228 824328    0    0     0     8 19162 26872  4  2 93  0  0  0 2026-09-21 16:16:16
 0  0      0 6478608  34228 824328    0    0     0     0 15942 23475  4  2 95  0  0  0 2026-09-21 16:16:17
 0  0      0 6478608  34228 824328    0    0     0     0 15970 22787  3  1 95  0  0  0 2026-09-21 16:16:18
 1  0      0 6478608  34228 824328    0    0     0     8 17280 24821  3  2 96  0  0  0 2026-09-21 16:16:19
 0  0      0 6478608  34236 824328    0    0     0    40 19593 27795  4  2 94  0  0  0 2026-09-21 16:16:20
 0  0      0 6760172  34236 824192    0    0     0     0 20028 26764  3  3 94  0  0  0 2026-09-21 16:16:21
