procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6728276  35208 826180    0    0    82   171 10186   27  5  2 93  0  0  0 2026-09-21 17:11:07
 0  0      0 6702708  35208 826180    0    0     0     0 2104 2035  3  1 96  0  0  0 2026-09-21 17:11:08
 0  0      0 6707368  35208 826180    0    0     0     0   70   79  0  0 100  0  0  0 2026-09-21 17:11:09
 0  0      0 6698068  35208 826180    0    0     0     0 10594 13725  5  2 94  0  0  0 2026-09-21 17:11:10
 0  0      0 6696984  35208 826180    0    0     0     0 4999 6519  2  0 98  0  0  0 2026-09-21 17:11:11
 0  0      0 6690684  35208 826180    0    0     0     0 14127 20196  5  2 93  0  0  0 2026-09-21 17:11:12
 0  0      0 6666748  35208 826180    0    0     0     0 28295 33985 15  5 81  0  0  0 2026-09-21 17:11:13
 4  0      0 6653904  35208 826180    0    0     0     0 29827 32538 19  5 76  0  0  0 2026-09-21 17:11:14
 4  0      0 6623392  35208 826180    0    0     0     4 34850 29680 26  6 68  0  0  0 2026-09-21 17:11:15
 0  0      0 6611548  35208 826180    0    0     0     0 30034 36874 15  4 81  0  0  0 2026-09-21 17:11:16
 3  0      0 6587360  35208 826180    0    0     0     0 31995 34034 19  6 76  0  0  0 2026-09-21 17:11:17
 0  0      0 6570556  35208 826180    0    0     0     0 36630 40544 24  7 69  0  0  0 2026-09-21 17:11:18
 0  0      0 6544020  35208 826180    0    0     0     0 34274 35540 20  7 73  0  0  0 2026-09-21 17:11:19
 0  0      0 6532428  35208 826180    0    0     0     0 24859 29296 12  3 85  0  0  0 2026-09-21 17:11:20
 0  0      0 6526128  35208 826180    0    0     0    24 31039 34804 17  5 78  0  0  0 2026-09-21 17:11:21
 0  0      0 6502692  35216 826180    0    0     0    52 37924 36807 26  8 66  0  0  0 2026-09-21 17:11:22
