COMMAND                   AVG_CPU%
isuride                       80.9
nginx                         20.6
systemd-journal                6.8
rsyslogd                       3.9
curl                           1.2
landscape-sysin                1.1
pidstat                        0.6
rcu_sched                      0.3
mysql                          0.1
kworker/u8:3-kvfree_rcu_reclaim       0.1
kworker/1:3-events             0.1
kworker/0:1-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-logind                 0.0
