procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6730808  34044 823732    0    0   274   287 2185    7  1  0 98  1  0  0 2026-09-21 16:06:29
 0  0      0 6719008  34044 823788    0    0     0     0 2130 2082  3  2 95  0  0  0 2026-09-21 16:06:30
 0  0      0 6719008  34044 823788    0    0     0  3392   83  109  0  0 100  0  0  0 2026-09-21 16:06:31
 0  0      0 6715396  34044 823788    0    0     0     0 8122 11203  3  1 96  0  0  0 2026-09-21 16:06:32
 0  0      0 6715228  34044 823788    0    0     0     0 13858 21058  4  2 95  0  0  0 2026-09-21 16:06:33
 0  0      0 6714220  34044 823788    0    0     0     0 18651 28214  5  2 93  0  0  0 2026-09-21 16:06:34
 1  0      0 6711996  34044 823788    0    0     0     0 18281 27115  5  2 93  0  0  0 2026-09-21 16:06:35
 0  0      0 6706932  34044 823788    0    0     0     0 18167 25727  5  3 93  0  0  0 2026-09-21 16:06:36
 0  0      0 6702880  34044 823788    0    0     0     0 18188 26555  5  2 93  0  0  0 2026-09-21 16:06:37
 0  0      0 6700440  34044 823792    0    0     0     0 18707 26833  5  2 93  0  0  0 2026-09-21 16:06:38
 0  0      0 6695824  34044 823792    0    0     0     0 18112 25892  5  2 93  0  0  0 2026-09-21 16:06:39
 0  0      0 6691916  34044 823792    0    0     0     0 19439 27375  6  2 93  0  0  0 2026-09-21 16:06:40
 4  0      0 6686500  34044 823796    0    0     0     0 17177 24472  5  2 94  0  0  0 2026-09-21 16:06:41
 0  0      0 6686328  34044 823796    0    0     0     0 17330 24509  4  3 93  0  0  0 2026-09-21 16:06:42
 3  0      0 6677932  34044 823796    0    0     0     0 15647 21440  5  2 93  0  0  0 2026-09-21 16:06:43
 0  0      0 6677680  34044 823796    0    0     0     0 15798 23062  3  1 95  0  0  0 2026-09-21 16:06:44
 0  0      0 6676912  34044 823796    0    0     0     0 16007 23035  4  2 94  0  0  0 2026-09-21 16:06:45
 0  0      0 6670760  34044 823796    0    0     0     0 15195 22065  3  1 95  0  0  0 2026-09-21 16:06:46
 0  0      0 6664576  34044 823796    0    0     0     0 15861 22628  5  2 94  0  0  0 2026-09-21 16:06:47
 0  0      0 6664576  34044 823796    0    0     0     0 14818 21491  3  2 96  0  0  0 2026-09-21 16:06:48
 0  0      0 6662056  34044 823796    0    0     0     0 17792 24933  5  1 94  0  0  0 2026-09-21 16:06:49
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6660280  34044 823796    0    0     0     0 15263 21877  4  2 94  0  0  0 2026-09-21 16:06:50
 0  0      0 6660040  34044 823796    0    0     0     0 15836 22983  3  1 96  0  0  0 2026-09-21 16:06:51
 0  0      0 6659524  34044 823796    0    0     0     0 17020 24332  4  2 94  0  0  0 2026-09-21 16:06:52
 0  0      0 6653740  34044 823800    0    0     0     0 17790 25382  5  2 93  0  0  0 2026-09-21 16:06:53
 0  0      0 6652536  34044 823800    0    0     0     0 15431 21931  4  2 95  0  0  0 2026-09-21 16:06:54
 0  0      0 6652052  34044 823804    0    0     0     0 15974 23074  4  2 95  0  0  0 2026-09-21 16:06:55
 0  0      0 6646032  34044 823804    0    0     0     0 15829 22515  4  2 94  0  0  0 2026-09-21 16:06:56
 0  0      0 6644240  34044 823808    0    0     0     0 15871 23211  4  2 94  0  0  0 2026-09-21 16:06:57
 0  0      0 6642476  34044 823808    0    0     0     0 17181 24804  4  2 94  0  0  0 2026-09-21 16:06:58
 0  0      0 6640964  34044 823812    0    0     0     0 16723 23423  4  2 94  0  0  0 2026-09-21 16:06:59
 0  0      0 6634728  34052 823812    0    0     0   120 15483 22339  3  1 96  0  0  0 2026-09-21 16:07:00
 0  0      0 6631972  34052 823820    0    0     0     0 16718 23578  5  2 94  0  0  0 2026-09-21 16:07:01
 0  0      0 6631892  34052 823820    0    0     0  3448 15619 22782  3  2 95  0  0  0 2026-09-21 16:07:02
 2  0      0 6630792  34052 823820    0    0     0     0 16209 23026  4  2 94  0  0  0 2026-09-21 16:07:03
 0  0      0 6628340  34052 823824    0    0     0     0 14180 20472  3  2 95  0  0  0 2026-09-21 16:07:04
 3  0      0 6619288  34052 823824    0    0     0     0 16965 23923  5  2 93  0  0  0 2026-09-21 16:07:05
 0  0      0 6619040  34052 823824    0    0     0     0 13174 18933  4  2 95  0  0  0 2026-09-21 16:07:06
 1  0      0 6617528  34052 823840    0    0     0     0 16167 22986  4  2 94  0  0  0 2026-09-21 16:07:07
 0  0      0 6616348  34052 823840    0    0     0     0 16611 23920  4  2 94  0  0  0 2026-09-21 16:07:08
 1  0      0 6607132  34052 823840    0    0     0     0 17229 24836  4  2 94  0  0  0 2026-09-21 16:07:09
 0  0      0 6594596  34052 823856    0    0     0     0 15826 22223  4  2 94  0  0  0 2026-09-21 16:07:10
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 6594344  34052 823872    0    0     0     0 16253 23398  4  2 94  0  0  0 2026-09-21 16:07:11
 0  0      0 6593140  34052 823872    0    0     0     0 16807 24187  4  2 94  0  0  0 2026-09-21 16:07:12
 0  0      0 6592832  34052 823872    0    0     0     0 16852 24584  4  2 95  0  0  0 2026-09-21 16:07:13
 1  0      0 6592316  34052 823872    0    0     0     0 16592 23833  4  2 95  0  0  0 2026-09-21 16:07:14
 0  0      0 6591824  34052 823876    0    0     0     0 15474 22123  3  2 95  0  0  0 2026-09-21 16:07:15
 0  0      0 6579496  34052 823876    0    0     0     0 17571 24369  6  2 92  0  0  0 2026-09-21 16:07:16
 1  0      0 6578296  34052 823876    0    0     0     0 17841 25918  4  2 94  0  0  0 2026-09-21 16:07:17
 0  0      0 6577964  34052 823876    0    0     0     0 16459 24147  3  2 96  0  0  0 2026-09-21 16:07:18
 0  0      0 6576520  34052 823876    0    0     0     0 16216 23288  4  2 95  0  0  0 2026-09-21 16:07:19
 0  0      0 6576452  34052 823876    0    0     0     0 15551 22239  4  2 94  0  0  0 2026-09-21 16:07:20
 1  0      0 6575196  34052 823876    0    0     0     0 18557 27286  4  2 94  0  0  0 2026-09-21 16:07:21
 2  0      0 6568100  34052 823876    0    0     0     0 16983 24749  4  2 94  0  0  0 2026-09-21 16:07:22
 0  0      0 6563352  34052 823876    0    0     0     0 18001 25787  6  2 92  0  0  0 2026-09-21 16:07:23
 0  0      0 6563352  34052 823876    0    0     0     0 15478 22487  4  2 95  0  0  0 2026-09-21 16:07:24
 0  0      0 6562092  34052 823876    0    0     0     0 17031 24574  3  2 95  0  0  0 2026-09-21 16:07:25
 1  0      0 6561232  34052 823876    0    0     0     0 17251 24874  4  1 95  0  0  0 2026-09-21 16:07:26
 1  0      0 6560592  34052 823892    0    0     0     0 18193 26258  4  3 93  0  0  0 2026-09-21 16:07:27
 0  0      0 6557496  34052 823892    0    0     0     0 17928 25774  4  2 94  0  0  0 2026-09-21 16:07:28
 0  0      0 6549000  34052 823892    0    0     0     0 15740 22715  5  2 93  0  0  0 2026-09-21 16:07:29
 0  0      0 6548484  34052 823892    0    0     0     0 17355 24994  4  2 94  0  0  0 2026-09-21 16:07:30
 0  0      0 6548268  34060 823892    0    0     0    56 15136 21782  3  2 95  0  0  0 2026-09-21 16:07:31
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6547752  34060 823892    0    0     0     0 17405 24866  4  2 94  0  0  0 2026-09-21 16:07:32
 0  0      0 6547512  34060 823892    0    0     0  1300 14897 22253  2  1 97  0  0  0 2026-09-21 16:07:33
 0  0      0 6547512  34060 823892    0    0     0     0 14636 21856  3  2 96  0  0  0 2026-09-21 16:07:34
 0  0      0 6547512  34060 823892    0    0     0     0 14931 22000  2  2 96  0  0  0 2026-09-21 16:07:35
 0  0      0 6547260  34060 823892    0    0     0     0 15924 23538  3  1 96  0  0  0 2026-09-21 16:07:36
 0  0      0 6766000  34060 823892    0    0     0     0 15518 21708  3  2 95  0  0  0 2026-09-21 16:07:37
