COMMAND                   AVG_CPU%
isuride                       80.3
nginx                         37.2
systemd-journal               10.4
rsyslogd                       6.3
curl                           1.7
pidstat                        0.6
rcu_sched                      0.3
mysql                          0.1
kworker/1:3-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
snapd                          0.0
sh                             0.0
ModemManager                   0.0
