procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 15179916  18992 359900    0    0   298   108 21881   18 12  2 85  0  0  0 2026-09-21 18:06:09
 0  0      0 15159172  18992 359892    0    0     0     0 3049 2784  1  1 98  0  0  0 2026-09-21 18:06:10
 0  0      0 15160432  18992 359892    0    0     0     0   91   97  0  0 100  0  0  0 2026-09-21 18:06:11
 0  0      0 15165088  18992 359892    0    0     0     0 2750 3163  1  0 99  0  0  0 2026-09-21 18:06:12
 0  0      0 15160656  18992 359892    0    0     0     0 9177 12399  2  1 97  0  0  0 2026-09-21 18:06:13
 0  0      0 15161624  18992 359892    0    0     0     0 6960 9359  2  1 98  0  0  0 2026-09-21 18:06:14
 0  0      0 15144664  18992 359892    0    0     0     0 12160 15984  4  1 95  0  0  0 2026-09-21 18:06:15
 7  0      0 15120596  18992 359892    0    0     0     0 14737 18074  7  1 92  0  0  0 2026-09-21 18:06:16
 1  0      0 15106736  18992 359892    0    0     0     0 15980 19821  6  1 93  0  0  0 2026-09-21 18:06:17
 0  0      0 15093632  18992 359888    0    0     0     0 14372 17713  5  1 95  0  0  0 2026-09-21 18:06:18
 2  0      0 15063644  18992 359888    0    0     0     0 22339 27163  9  1 90  0  0  0 2026-09-21 18:06:19
 0  0      0 15020244  18992 359888    0    0     0     0 22404 25368  8  2 90  0  0  0 2026-09-21 18:06:20
 2  0      0 14970660  18992 359888    0    0     0     0 29912 34108 12  2 86  0  0  0 2026-09-21 18:06:21
 2  0      0 14883216  18992 359888    0    0    32     0 36278 38889 15  3 82  0  0  0 2026-09-21 18:06:22
 0  0      0 14836848  18992 359892    0    0     0     0 37766 40525 16  3 81  0  0  0 2026-09-21 18:06:23
 0  0      0 14670528  18992 359900    0    0     0     0 49917 48124 22  5 74  0  0  0 2026-09-21 18:06:24
 7  0      0 14565596  18992 359924    0    0     0     0 54608 55782 24  5 71  0  0  0 2026-09-21 18:06:25
 3  0      0 14357632  18992 360080    0    0     0     0 63518 54189 31  7 62  0  0  0 2026-09-21 18:06:26
