procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 2159868  87944 1010744    0    0   896  1455 1539   16 12  3 82  3  0  0 2026-09-21 15:50:44
 2  0      0 2159444  87944 1010884    0    0     0     8 1472 1802  6  4 91  0  0  0 2026-09-21 15:50:45
 1  0      0 2117344  88620 1012488    0    0     0 32712 6650 12945 22  6 35 37  0  0 2026-09-21 15:50:46
 1  0      0 2109592  89144 1021880    0    0     0 14016 8317 14145 18  5 37 41  0  0 2026-09-21 15:50:47
19  0      0 2081532  89232 1022796    0    0     0  2400 7995 14143 59 11 28  3  0  0 2026-09-21 15:50:48
28  0      0 2061756  89236 1038500    0    0     0   276 4739 7866 93  7  0  0  0  0 2026-09-21 15:50:49
24  0      0 2037740  89244 1029792    0    0     0   312 4312 6969 93  7  0  0  0  0 2026-09-21 15:50:50
29  0      0 2005760  89256 1030372    0    0     0  8140 4557 7107 94  6  0  0  0  0 2026-09-21 15:50:51
20  0      0 1974520  89268 1029192    0    0     0  1028 4940 7857 94  6  0  0  0  0 2026-09-21 15:50:52
23  0      0 1985384  89456 1029416    0    0     0  3460 8404 16720 87 13  0  0  0  0 2026-09-21 15:50:53
30  0      0 1985192  89580 1030636    0    0     0  2452 7599 14586 88 12  0  0  0  0 2026-09-21 15:50:54
18  1      0 2008104  89752 1032740    0    0     0  2740 7007 12846 89 11  0  0  0  0 2026-09-21 15:50:55
34  0      0 2001356  89932 1036536    0    0     0  3548 7549 14309 88 13  0  0  0  0 2026-09-21 15:50:56
28  0      0 1991240  90172 1033948    0    0     0  3236 7960 15237 89 11  0  0  0  0 2026-09-21 15:50:57
17  1      0 1982300  90596 1038084    0    0     0  3924 7765 14716 88 12  0  0  0  0 2026-09-21 15:50:58
15  1      0 1975084  90972 1037108    0    0     0  3772 7438 14446 88 13  0  0  0  0 2026-09-21 15:50:59
21  0      0 1974924  91308 1040184    0    0     0  3916 7481 14374 89 11  0  0  0  0 2026-09-21 15:51:00
22  0      0 1976928  91636 1038248    0    0     0  4204 7681 15074 86 14  0  0  0  0 2026-09-21 15:51:01
26  0      0 1978640  91984 1042212    0    0     0  4564 8025 15434 88 12  0  0  0  0 2026-09-21 15:51:02
14  2      0 1988204  92256 1041076    0    0     0  4196 7704 15051 88 12  0  0  0  0 2026-09-21 15:51:03
23  1      0 1971704  92536 1043100    0    0     0  4172 7533 14315 89 12  0  0  0  0 2026-09-21 15:51:04
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
18  0      0 1975996  92684 1047000    0    0     0  4668 8239 16167 89 12  0  0  0  0 2026-09-21 15:51:05
31  0      0 1974256  92904 1045204    0    0     0  4380 7760 15092 89 11  0  0  0  0 2026-09-21 15:51:07
14  2      0 1966352  93140 1047124    0    0     0  8396 7134 13390 89 11  0  0  0  0 2026-09-21 15:51:08
22  0      0 1953252  93348 1045028    0    0     0  5624 7487 14250 90 11  0  0  0  0 2026-09-21 15:51:09
