procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6735188  33296 822928    0    0   623   534  765    2  1  0 97  1  0  0 2026-09-21 15:50:45
 0  0      0 6729416  33296 823040    0    0    24     0 2332 2392  3  2 95  0  0  0 2026-09-21 15:50:46
 0  0      0 6729416  33296 823040    0    0     0     0   85  113  0  0 100  0  0  0 2026-09-21 15:50:47
 0  0      0 6725888  33296 823040    0    0     0     0 7433 10424  3  1 96  0  0  0 2026-09-21 15:50:48
 0  0      0 6723196  33296 823040    0    0     0     0 6788 9575  2  1 97  0  0  0 2026-09-21 15:50:49
 0  0      0 6722864  33296 823040    0    0     0     0 5215 7863  1  1 98  0  0  0 2026-09-21 15:50:50
 0  0      0 6722864  33296 823040    0    0     0     0 4765 7345  1  1 99  0  0  0 2026-09-21 15:50:51
 0  0      0 6722612  33296 823040    0    0     0     0 4014 6208  1  1 99  0  0  0 2026-09-21 15:50:52
 0  0      0 6722612  33296 823040    0    0     0     0 5740 8759  1  1 98  0  0  0 2026-09-21 15:50:53
 1  0      0 6721448  33296 823040    0    0     0     8 5846 8903  1  1 98  0  0  0 2026-09-21 15:50:54
 0  0      0 6720944  33296 823040    0    0     0     0 6156 9357  1  1 98  0  0  0 2026-09-21 15:50:55
 1  0      0 6720612  33296 823040    0    0     0     0 5293 8013  1  1 98  0  0  0 2026-09-21 15:50:56
 0  0      0 6720692  33296 823040    0    0     0     0 5314 8103  1  0 99  0  0  0 2026-09-21 15:50:57
 0  0      0 6720692  33296 823040    0    0     0     0 5063 7688  1  1 99  0  0  0 2026-09-21 15:50:58
 0  0      0 6720692  33296 823040    0    0     0     0 5592 8180  1  1 98  0  0  0 2026-09-21 15:50:59
 0  0      0 6720692  33296 823040    0    0     0     0 5343 8200  1  0 99  0  0  0 2026-09-21 15:51:00
 0  0      0 6720692  33296 823040    0    0     0     0 4456 6743  1  1 98  0  0  0 2026-09-21 15:51:01
 0  0      0 6720912  33296 823048    0    0     0     0 5032 7504  1  1 98  0  0  0 2026-09-21 15:51:02
 0  0      0 6720660  33296 823048    0    0     0     0 4214 6303  1  1 98  0  0  0 2026-09-21 15:51:03
 0  0      0 6720660  33296 823048    0    0     0     0 4533 6831  1  0 99  0  0  0 2026-09-21 15:51:04
 0  0      0 6720660  33296 823048    0    0     0     0 4370 6610  1  0 99  0  0  0 2026-09-21 15:51:05
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6720660  33296 823048    0    0     0     0 4491 6731  1  0 99  0  0  0 2026-09-21 15:51:06
 0  0      0 6720660  33296 823048    0    0     0     0 4113 6263  1  1 99  0  0  0 2026-09-21 15:51:07
 1  0      0 6720660  33296 823048    0    0     0     0 4345 6368  1  0 99  0  0  0 2026-09-21 15:51:08
 0  0      0 6720660  33296 823048    0    0     0     0 4763 7219  1  1 99  0  0  0 2026-09-21 15:51:09
 0  0      0 6720660  33296 823048    0    0     0     0 4497 6838  1  1 98  0  0  0 2026-09-21 15:51:10
