COMMAND                   AVG_CPU%
isuride                       89.3
pidstat                        0.7
rcu_sched                      0.2
sh                             0.1
mysql                          0.1
kworker/1:2-events             0.1
kworker/0:1-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
systemd-journal                0.0
kworker/u8:3-events_power_efficient       0.0
kworker/u8:1-events_power_efficient       0.0
irqbalance                     0.0
gzip                           0.0
