procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 2837560  23316 418004    0    0    35    31  255    0  0  0 99  0  0  0 2026-09-21 21:30:47
 0  0      0 2837560  23316 417972    0    0     0     0  968 1147  2  3 95  0  0  0 2026-09-21 21:30:48
 0  0      0 2837560  23316 417972    0    0     0     0  230  181  0  1 100  0  0  0 2026-09-21 21:30:49
 0  0      0 2837560  23316 417972    0    0     0     0   43   53  0  0 100  0  0  0 2026-09-21 21:30:50
 0  0      0 2837560  23316 417976    0    0     0     0 5344 3241  4  2 94  0  0  0 2026-09-21 21:30:51
 0  0      0 2837560  23316 417976    0    0     0     0 2883 1495  2  2 97  0  0  0 2026-09-21 21:30:52
 0  0      0 2837560  23316 417984    0    0     0     0 6401 3254  3  2 95  0  0  0 2026-09-21 21:30:53
 0  0      0 2837560  23316 417984    0    0     0     0 9164 5164  4  3 93  0  0  0 2026-09-21 21:30:54
 1  0      0 2837320  23316 418024    0    0     0     4 9323 5140  5  4 91  0  0  0 2026-09-21 21:30:55
 1  0      0 2837320  23316 418120    0    0     0     0 10253 5861  6  5 89  0  0  0 2026-09-21 21:30:56
 0  0      0 2839564  23316 418140    0    0     0     0 14928 8615  8  6 86  0  0  0 2026-09-21 21:30:57
 1  0      0 2839564  23316 418260    0    0     0     0 14776 8365  9  7 84  0  0  0 2026-09-21 21:30:58
 0  0      0 2839324  23316 418336    0    0     0     0 18947 10678 10  8 82  0  0  0 2026-09-21 21:30:59
 0  0      0 2840472  23316 418496    0    0     0     0 19774 9998 15 10 76  0  0  0 2026-09-21 21:31:00
 3  0      0 2841944  23316 418632    0    0     0     0 26603 13724 17 14 68  0  0  0 2026-09-21 21:31:01
 1  0      0 2843868  23316 418912    0    0     0     0 28756 13199 28 17 55  0  0  0 2026-09-21 21:31:02
 1  0      0 2839108  23316 419152    0    0     0     0 31382 15263 29 22 49  0  0  0 2026-09-21 21:31:03
 3  0      0 2839140  23316 419580    0    0     0     0 33386 11421 43 26 31  0  0  0 2026-09-21 21:31:04
 2  0      0 2838988  23316 419936    0    0     0     0 34802 9162 49 28 23  0  0  0 2026-09-21 21:31:05
 3  0      0 2838996  23316 420408    0    0     0     0 38713 7022 52 32 16  0  0  0 2026-09-21 21:31:06
 3  0      0 2838076  23316 420760    0    0     0     0 40306 5884 56 33 11  0  0  0 2026-09-21 21:31:07
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 3  0      0 2836256  23316 421340    0    0     0     0 35623 4738 56 34 11  0  0  0 2026-09-21 21:31:08
 3  0      0 2833400  23316 421724    0    0     0     0 37299 6176 51 34 15  0  0  0 2026-09-21 21:31:09
 3  0      0 2833420  23316 422096    0    0     0     0 38655 4919 56 36  8  0  0  0 2026-09-21 21:31:10
 3  0      0 2834632  23316 422488    0    0     0     0 38455 6366 49 33 17  0  0  0 2026-09-21 21:31:11
 3  0      0 2832844  23316 422860    0    0     0     0 36507 8702 45 31 24  0  0  0 2026-09-21 21:31:12
 3  0      0 2831916  23324 423348    0    0     0  8096 40939 5140 52 36 12  0  0  0 2026-09-21 21:31:13
 3  0      0 2829924  23324 423720    0    0     0     0 42075 6567 49 37 14  0  0  0 2026-09-21 21:31:14
 3  0      0 2830056  23324 423948    0    0     0     0 40192 5301 54 34 13  0  0  0 2026-09-21 21:31:15
 3  0      0 2828728  23324 424476    0    0     0     0 38629 7158 48 36 16  0  0  0 2026-09-21 21:31:16
 3  0      0 2829356  23324 424728    0    0     0     0 37179 6280 48 35 17  0  0  0 2026-09-21 21:31:17
