COMMAND                   AVG_CPU%
nginx                         67.5
isuride                       63.6
curl                           0.8
pidstat                        0.5
ksoftirqd/1                    0.2
ksoftirqd/0                    0.2
rcu_sched                      0.1
mysql                          0.1
kworker/1:2-events             0.1
kworker/0:3-events             0.1
systemd-logind                 0.0
systemd-journal                0.0
sh                             0.0
multipathd                     0.0
kworker/u8:4-writeback         0.0
