procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 1511248 103836 2009596    0    0   154  2091 9283   51 23 11 66  1  0  0 2026-09-21 16:51:15
 0  0      0 1507136 103836 2009532    0    0     0   184  833 1158  6  4 90  0  0  0 2026-09-21 16:51:16
 0  0      0 1480284 103836 2009548    0    0     0  4184 1032  807  7  2 91  0  0  0 2026-09-21 16:51:17
 0  0      0 1492880 103836 2009548    0    0     0    20  805  700  7  1 93  0  0  0 2026-09-21 16:51:18
 0  0      0 1500496 103836 2009812    0    0     0     0 8829 9047 13  5 82  0  0  0 2026-09-21 16:51:19
 0  0      0 1500496 103836 2010104    0    0     0     0 5406 5775  8  3 89  0  0  0 2026-09-21 16:51:20
 5  0      0 1497684 103836 2010724    0    0     0     0 13117 14169 13  7 80  0  0  0 2026-09-21 16:51:21
 0  0      0 1496496 103836 2011500    0    0     0     0 14212 16797 16  7 77  0  0  0 2026-09-21 16:51:22
 0  0      0 1496244 103836 2012224    0    0     0  6880 14200 15738 14  9 77  0  0  0 2026-09-21 16:51:23
 2  0      0 1498444 103836 2013156    0    0     0     0 17278 19375 16 10 73  0  0  0 2026-09-21 16:51:24
 0  0      0 1496932 103836 2013976    0    0     0     0 16166 18279 17 11 72  0  0  0 2026-09-21 16:51:25
 2  0      0 1496176 103836 2014764    0    0     0     0 13702 15297 18 10 72  0  0  0 2026-09-21 16:51:26
 5  0      0 1495436 103836 2015808    0    0     0     0 18393 20065 21 11 68  0  0  0 2026-09-21 16:51:27
 2  0      0 1494452 103836 2016924    0    0     0     0 20092 20153 23 13 64  0  0  0 2026-09-21 16:51:28
 5  0      0 1494228 103836 2018112    0    0     0     0 19199 20361 24 12 64  0  0  0 2026-09-21 16:51:29
 5  0      0 1493316 103836 2019264    0    0     0     0 18762 21803 22 13 65  0  0  0 2026-09-21 16:51:30
 4  0      0 1492292 103836 2020344    0    0     0     0 19356 20304 24 13 63  0  0  0 2026-09-21 16:51:31
 1  0      0 1492196 103836 2021680    0    0     0     0 20143 20708 26 15 60  0  0  0 2026-09-21 16:51:32
 6  0      0 1492196 103836 2023008    0    0     0  3128 21233 21954 27 16 57  1  0  0 2026-09-21 16:51:33
 1  0      0 1489932 103836 2024584    0    0     0     0 24151 23110 28 17 56  0  0  0 2026-09-21 16:51:34
 1  0      0 1489456 103836 2026056    0    0     0     0 24765 23889 30 18 53  0  0  0 2026-09-21 16:51:35
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 6  0      0 1488952 103836 2027792    0    0     0     0 27106 25008 32 21 46  0  0  0 2026-09-21 16:51:36
 2  0      0 1486184 103836 2029440    0    0     0     0 25913 24240 34 21 45  0  0  0 2026-09-21 16:51:37
 1  0      0 1481900 103836 2031284    0    0     0     0 29332 26019 37 22 41  0  0  0 2026-09-21 16:51:38
 8  0      0 1477844 103836 2033392    0    0     0     0 30878 28051 45 25 30  0  0  0 2026-09-21 16:51:39
 6  0      0 1473336 103836 2035980    0    0     0     0 32047 27243 41 28 31  0  0  0 2026-09-21 16:51:40
 4  0      0 1467804 103836 2038728    0    0     0     0 34818 26845 50 32 18  0  0  0 2026-09-21 16:51:41
 5  0      0 1462848 103836 2041456    0    0     0     0 33035 27551 52 32 16  0  0  0 2026-09-21 16:51:42
 1  0      0 1456720 103836 2044720    0    0     0     0 34801 23910 54 34 12  0  0  0 2026-09-21 16:51:43
 6  0      0 1449104 103836 2048192    0    0     0     0 32367 14944 62 35  4  0  0  0 2026-09-21 16:51:44
 7  0      0 1440592 103836 2051652    0    0     0     4 33904 18533 59 35  6  0  0  0 2026-09-21 16:51:45
 6  0      0 1435568 103836 2055304    0    0     0    72 34720 11511 64 35  2  0  0  0 2026-09-21 16:51:46
 6  0      0 1428480 103836 2059064    0    0     0     0 33391 13705 63 34  3  0  0  0 2026-09-21 16:51:47
 6  0      0 1420632 103836 2062604    0    0     0    20 34099 11837 62 36  2  0  0  0 2026-09-21 16:51:48
 7  0      0 1412640 103836 2066088    0    0     0     0 31110 10521 61 36  3  0  0  0 2026-09-21 16:51:49
 5  0      0 1408096 103836 2069772    0    0     0   160 31593 10526 63 35  2  0  0  0 2026-09-21 16:51:50
 7  0      0 1402808 103836 2073296    0    0     0     0 31187 9613 61 37  2  0  0  0 2026-09-21 16:51:51
 5  0      0 1399060 103836 2076904    0    0     0     0 33110 7642 63 35  2  0  0  0 2026-09-21 16:51:52
 5  0      0 1390768 103836 2080424    0    0     0     0 30748 8484 65 34  2  0  0  0 2026-09-21 16:51:53
 4  0      0 1386412 103840 2084056    0    0     0 67784 31378 8639 63 36  1  0  0  0 2026-09-21 16:51:54
 5  0      0 1378732 103840 2087536    0    0     0     4 31961 10427 64 34  3  0  0  0 2026-09-21 16:51:55
