COMMAND                   AVG_CPU%
isuride                       88.7
pidstat                        0.7
mysql                          0.2
sh                             0.1
rcu_sched                      0.1
kworker/1:0-events             0.1
kworker/0:1-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
udisksd                        0.0
systemd-journal                0.0
rsyslogd                       0.0
polkitd                        0.0
kworker/u8:3-flush-259:0       0.0
kworker/u8:2-events_power_efficient       0.0
