procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 1251060 103104 1282876    0    0    90  2989 6015   31 25  5 69  2  0  0 2026-09-21 17:42:21
 0  1      0 1251032 103104 1282624    0    0     0   208  498  754  0  0 98  1  0  0 2026-09-21 17:42:22
 1  2      0 1323380 103104 1203492    0    0     0 28176 5667 10826 10  3 44 43  0  0 2026-09-21 17:42:23
 0  0      0 1297924 103104 1220856    0    0     0 26224 4028 7335 23  3 49 25  0  0 2026-09-21 17:42:24
 1  0      0 1297764 103104 1221000    0    0     0  1944 2666 3711  4  1 91  4  0  0 2026-09-21 17:42:25
 0  0      0 1297764 103104 1221124    0    0     0  1736 1998 3226  2  1 95  3  0  0 2026-09-21 17:42:26
 0  0      0 1300808 103104 1221248    0    0     0  1572 3354 4709  4  2 92  3  0  0 2026-09-21 17:42:27
 0  0      0 1301036 103104 1221532    0    0     0  1488 3130 4669  4  1 93  3  0  0 2026-09-21 17:42:28
 0  1      0 1301036 103104 1221856    0    0     0  1680 4459 6269  5  2 91  3  0  0 2026-09-21 17:42:29
 0  0      0 1301036 103104 1222156    0    0     0  1740 4150 5986  5  2 90  3  0  0 2026-09-21 17:42:30
 4  0      0 1300012 103104 1223636    0    0     0  2792 5979 8086  8  2 87  3  0  0 2026-09-21 17:42:31
 0  0      0 1299788 103104 1224164    0    0     0 14972 6119 7815  8  3 86  3  0  0 2026-09-21 17:42:32
 0  0      0 1299788 103104 1224796    0    0     0  2160 7829 9721 11  3 82  4  0  0 2026-09-21 17:42:33
 7  0      0 1299564 103104 1225652    0    0     0  2188 7949 10049 13  4 80  4  0  0 2026-09-21 17:42:34
 2  0      0 1299564 103104 1226320    0    0     0  2028 8696 10572 14  4 80  3  0  0 2026-09-21 17:42:35
 1  0      0 1298668 103104 1227820    0    0     0  2796 12625 14719 24  8 65  3  0  0 2026-09-21 17:42:36
 1  0      0 1298668 103104 1229020    0    0     0  2628 11227 13885 23  7 66  4  0  0 2026-09-21 17:42:37
 2  0      0 1297968 103104 1230652    0    0     0  4344 12792 16072 26  8 60  6  0  0 2026-09-21 17:42:38
 5  0      0 1297468 103104 1232548    0    0     0  4572 15790 18741 35 10 51  4  0  0 2026-09-21 17:42:39
 2  0      0 1295756 103104 1234916    0    0     0  5356 19120 20919 40 13 42  6  0  0 2026-09-21 17:42:40
 9  0      0 1286360 103104 1245628    0    0     0 17648 19248 22709 59 15 22  3  0  0 2026-09-21 17:42:41
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 7  0      0 1274876 103104 1257144    0    0     0 18152 23967 27658 71 15 11  4  0  0 2026-09-21 17:42:42
11  0      0 1271164 103104 1260496    0    0     0  9120 24644 28420 77 15  4  3  0  0 2026-09-21 17:42:43
 2  0      0 1267912 103104 1264516    0    0     0 31840 23322 28203 73 13 10  4  0  0 2026-09-21 17:42:44
 0  0      0 1265872 103104 1267184    0    0     0  8576 24403 29339 76 18  4  3  0  0 2026-09-21 17:42:45
17  0      0 1264920 103104 1269200    0    0     0  8116 20325 25581 59 14 24  3  0  0 2026-09-21 17:42:46
66  1      0 1261808 103104 1273708    0    0     0 10156 23152 27661 72 17  8  2  0  0 2026-09-21 17:42:47
26  0      0 1251400 103104 1284680    0    0     0 16724 24463 28196 78 18  4  1  0  0 2026-09-21 17:42:48
 2  0      0 1249640 103104 1286720    0    0     0  7172 22132 27640 70 13 14  3  0  0 2026-09-21 17:42:49
46  0      0 1246092 103104 1290312    0    0     0  8392 25423 26746 80 16  4  0  0  0 2026-09-21 17:42:50
14  0      0 1242308 103104 1294064    0    0     0  8996 25988 29444 77 18  4  2  0  0 2026-09-21 17:42:51
 7  0      0 1237676 103104 1298800    0    0     0 11264 25717 28779 79 17  3  3  0  0 2026-09-21 17:42:52
 1  0      0 1234640 103104 1301820    0    0     0  9052 22005 27250 64 13 19  4  0  0 2026-09-21 17:42:53
13  0      0 1232072 103104 1304256    0    0     0  9092 23483 25737 77 17  3  2  0  0 2026-09-21 17:42:54
24  0      0 1229300 103104 1307288    0    0     0 10024 27425 30197 78 20  2  1  0  0 2026-09-21 17:42:55
61  0      0 1224532 103104 1311848    0    0     0 11300 24288 28157 79 19  1  3  0  0 2026-09-21 17:42:56
28  0      0 1213440 103104 1323040    0    0     0 18384 25800 29657 77 18  5  1  0  0 2026-09-21 17:42:57
42  0      0 1211368 103104 1325124    0    0     0  8416 20048 22883 61 14 15 10  0  0 2026-09-21 17:42:58
 5  0      0 1209352 103104 1327444    0    0     0  8784 22433 27766 69 16 14  1  0  0 2026-09-21 17:42:59
44  0      0 1204288 103104 1332280    0    0     0 11384 24760 30371 77 18  4  1  0  0 2026-09-21 17:43:00
32  1      0 1199756 103104 1336032    0    0     0  9232 25726 27326 77 20  3  1  0  0 2026-09-21 17:43:01
19  1      0 1197288 103104 1338980    0    0     0  7328 23430 23639 78 20  3  0  0  0 2026-09-21 17:43:02
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
15  0      0 1194468 103104 1341768    0    0     0 13400 25554 30646 79 18  2  1  0  0 2026-09-21 17:43:03
 1  0      0 1190404 103104 1345688    0    0     0 11752 17979 21629 49 13 26 12  0  0 2026-09-21 17:43:04
11  0      0 1187884 103104 1348092    0    0     0  9920 20134 22904 61 16 22  1  0  0 2026-09-21 17:43:05
 5  0      0 1185868 103104 1350588    0    0     0  9164 23678 26061 74 16  6  3  0  0 2026-09-21 17:43:06
35  0      0 1183356 103104 1352988    0    0     0  8976 24389 29051 76 18  7  0  0  0 2026-09-21 17:43:07
48  0      0 1179552 103104 1356920    0    0     0 10816 26105 28353 71 19  9  1  0  0 2026-09-21 17:43:08
15  0      0 1175812 103104 1360840    0    0     0 11076 24937 25773 79 17  1  2  0  0 2026-09-21 17:43:09
 2  0      0 1172984 103104 1363592    0    0     0  9988 26225 31292 78 18  2  2  0  0 2026-09-21 17:43:10
 7  0      0 1170264 103104 1366260    0    0     0  9624 26084 28156 77 20  2  0  0  0 2026-09-21 17:43:11
14  0      0 1167476 103104 1369152    0    0     0 10772 20332 26306 67 14 18  3  0  0 2026-09-21 17:43:12
 5  1      0 1165156 103104 1371680    0    0     0  9748 24753 29524 79 16  4  2  0  0 2026-09-21 17:43:13
13  1      0 1162436 103104 1374372    0    0     0 10024 24700 28271 80 18  1  0  0  0 2026-09-21 17:43:14
18  0      0 1158192 103104 1378368    0    0     0 87292 25944 27879 77 21  2  1  0  0 2026-09-21 17:43:15
