COMMAND                   AVG_CPU%
nginx                        134.5
pidstat                        0.5
rcu_sched                      0.2
landscape-sysin                0.2
kworker/1:2-events             0.1
kworker/0:3-events             0.1
vmstat                         0.0
udisksd                        0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
snapd                          0.0
rsyslogd                       0.0
multipathd                     0.0
