procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6733164  33328 823168    0    0   530   468  992    3  1  0 97  1  0  0 2026-09-21 15:52:54
 0  0      0 6716708  33328 823164    0    0     0     0 2153 2139  3  2 95  0  0  0 2026-09-21 15:52:55
 0  0      0 6719640  33328 823164    0    0     0     0  100  127  0  0 100  0  0  0 2026-09-21 15:52:56
 0  0      0 6722848  33328 823164    0    0     0     0 1061 1326  1  0 99  0  0  0 2026-09-21 15:52:57
 0  0      0 6720976  33328 823164    0    0     0     0 11595 16037  4  2 95  0  0  0 2026-09-21 15:52:58
 0  0      0 6720976  33328 823164    0    0     0     0 11349 18409  3  1 96  0  0  0 2026-09-21 15:52:59
 0  0      0 6722212  33328 823164    0    0     0     0 8718 13715  2  1 98  0  0  0 2026-09-21 15:53:00
 0  0      0 6721272  33328 823164    0    0     0     0 9493 14798  2  1 97  0  0  0 2026-09-21 15:53:01
 0  0      0 6720900  33328 823180    0    0     0     0 9253 14380  2  1 98  0  0  0 2026-09-21 15:53:02
 0  0      0 6720900  33328 823180    0    0     0     0 8934 13725  1  1 98  0  0  0 2026-09-21 15:53:03
 0  0      0 6721316  33328 823180    0    0     0     0 8648 13157  2  1 98  0  0  0 2026-09-21 15:53:04
 0  0      0 6721316  33328 823180    0    0     0  7148 9660 14606  2  1 97  0  0  0 2026-09-21 15:53:05
 0  0      0 6721316  33328 823180    0    0     0     0 10866 16650  2  1 97  0  0  0 2026-09-21 15:53:06
 0  0      0 6721316  33328 823180    0    0     0     0 8056 12175  2  1 98  0  0  0 2026-09-21 15:53:07
 1  0      0 6721064  33328 823180    0    0     0     0 8364 12747  1  1 98  0  0  0 2026-09-21 15:53:08
 0  0      0 6720596  33328 823180    0    0     0     0 10325 15681  2  1 97  0  0  0 2026-09-21 15:53:09
 0  0      0 6719668  33328 823180    0    0     0     0 8962 13382  2  1 97  0  0  0 2026-09-21 15:53:10
 0  0      0 6719084  33328 823180    0    0     0     0 7490 11315  1  1 98  0  0  0 2026-09-21 15:53:11
 0  0      0 6719084  33328 823180    0    0     0     0 8753 13186  1  1 98  0  0  0 2026-09-21 15:53:12
 0  0      0 6718832  33328 823180    0    0     0     0 10753 16111  3  1 97  0  0  0 2026-09-21 15:53:13
 0  0      0 6718580  33328 823180    0    0     0     0 7667 11715  2  1 98  0  0  0 2026-09-21 15:53:14
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6718580  33328 823180    0    0     0     0 6886 10449  1  1 98  0  0  0 2026-09-21 15:53:15
 0  0      0 6718580  33328 823180    0    0     0     0 10491 15617  2  1 97  0  0  0 2026-09-21 15:53:16
 0  0      0 6717320  33328 823180    0    0     0     0 9076 13294  2  1 97  0  0  0 2026-09-21 15:53:17
 0  0      0 6717320  33328 823180    0    0     0     0 7348 10931  2  1 97  0  0  0 2026-09-21 15:53:18
 0  0      0 6717320  33328 823180    0    0     0     0 7626 11464  1  1 98  0  0  0 2026-09-21 15:53:19
 0  0      0 6716564  33328 823184    0    0     0     0 10507 15527  2  1 97  0  0  0 2026-09-21 15:53:20
 0  0      0 6716564  33328 823184    0    0     0     0 7718 11632  1  1 98  0  0  0 2026-09-21 15:53:21
 0  0      0 6716564  33336 823188    0    0     0    64 6386 9572  1  0 98  0  0  0 2026-09-21 15:53:22
 0  0      0 6716392  33336 823188    0    0     0     0 8505 12653  2  1 97  0  0  0 2026-09-21 15:53:23
 0  0      0 6714548  33336 823188    0    0     0     0 10493 15641  2  1 96  0  0  0 2026-09-21 15:53:24
 0  0      0 6714296  33336 823188    0    0     0     4 6782 10080  1  1 98  0  0  0 2026-09-21 15:53:25
 0  0      0 6714296  33336 823188    0    0     0     0 7208 10920  1  1 98  0  0  0 2026-09-21 15:53:26
 0  0      0 6714044  33336 823188    0    0     0     0 9279 13838  3  1 96  0  0  0 2026-09-21 15:53:27
 0  0      0 6714044  33336 823188    0    0     0     0 8052 12013  1  1 98  0  0  0 2026-09-21 15:53:28
 0  0      0 6714044  33336 823192    0    0     0     0 7089 10604  1  1 98  0  0  0 2026-09-21 15:53:29
 0  0      0 6714044  33336 823192    0    0     0     0 8481 12639  2  1 97  0  0  0 2026-09-21 15:53:30
 0  0      0 6713116  33336 823192    0    0     0     0 11549 16791  3  1 97  0  0  0 2026-09-21 15:53:31
 0  0      0 6712692  33336 823192    0    0     0     0 6981 10177  2  1 97  0  0  0 2026-09-21 15:53:32
 0  0      0 6712532  33336 823192    0    0     0     0 6814 10270  1  1 98  0  0  0 2026-09-21 15:53:33
 0  0      0 6710000  33336 823196    0    0     0     0 9787 14238  3  1 96  0  0  0 2026-09-21 15:53:34
 0  0      0 6709336  33336 823196    0    0     0     0 8485 12444  2  1 97  0  0  0 2026-09-21 15:53:35
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6708580  33336 823196    0    0     0     0 7500 10976  2  1 97  0  0  0 2026-09-21 15:53:36
 3  0      0 6708076  33336 823196    0    0     0     0 6636 9893  2  1 98  0  0  0 2026-09-21 15:53:37
 0  0      0 6705980  33336 823196    0    0     0     0 10380 15099  3  1 96  0  0  0 2026-09-21 15:53:38
 0  0      0 6705980  33336 823196    0    0     0     0 7795 11523  1  1 98  0  0  0 2026-09-21 15:53:39
 0  0      0 6705728  33336 823196    0    0     0     0 7802 11458  2  1 98  0  0  0 2026-09-21 15:53:40
 0  0      0 6702256  33336 823192    0    0     0     0 8936 13317  2  1 97  0  0  0 2026-09-21 15:53:41
 1  0      0 6701192  33336 823192    0    0     0     0 10351 15016  3  1 96  0  0  0 2026-09-21 15:53:42
 0  0      0 6700332  33336 823192    0    0     0     0 7026 10338  2  1 97  0  0  0 2026-09-21 15:53:43
 2  0      0 6700184  33336 823192    0    0     0     0 7879 11881  2  0 98  0  0  0 2026-09-21 15:53:44
 0  0      0 6698672  33336 823192    0    0     0     0 9363 13954  2  1 97  0  0  0 2026-09-21 15:53:45
 0  0      0 6695224  33336 823192    0    0     0     0 8549 12790  2  1 97  0  0  0 2026-09-21 15:53:46
 0  0      0 6694136  33336 823192    0    0     0     0 7899 11692  2  1 98  0  0  0 2026-09-21 15:53:47
 0  0      0 6694136  33336 823192    0    0     0     0 7169 10875  2  1 97  0  0  0 2026-09-21 15:53:48
 0  0      0 6691868  33800 823300    0    0   484     0 12122 17682  2  1 95  1  0  0 2026-09-21 15:53:49
 0  0      0 6689288  33800 823300    0    0     0     0 7832 11643  2  1 97  0  0  0 2026-09-21 15:53:50
 0  0      0 6688340  33800 823300    0    0     0     0 7402 11066  2  1 97  0  0  0 2026-09-21 15:53:51
 0  0      0 6687824  33800 823300    0    0     0    24 9227 13616  1  1 98  0  0  0 2026-09-21 15:53:52
 0  0      0 6687584  33812 823304    0    0     0   144 9734 14497  2  1 97  0  0  0 2026-09-21 15:53:53
 0  0      0 6687160  33812 823304    0    0     0     0 8329 12414  2  1 97  0  0  0 2026-09-21 15:53:54
