procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 1433828  85188 2055744    0    0    81   504 6423   28  8  4 88  0  0  0 2026-09-21 18:23:12
 1  0      0 1430784  85188 2055716    0    0     0     0 1242 1797  5  3 93  0  0  0 2026-09-21 18:23:13
 0  0      0 1406836  85188 2055716    0    0     0     0 1350 1569  8  3 90  0  0  0 2026-09-21 18:23:14
 0  0      0 1414536  85188 2055716    0    0     0     0 1688 2114  7  2 91  0  0  0 2026-09-21 18:23:15
 0  0      0 1414536  85188 2055716    0    0     0 15016 3504 4209  3  3 92  2  0  0 2026-09-21 18:23:16
 0  0      0 1415016  85188 2055716    0    0     0    16 3313 4059  3  3 94  0  0  0 2026-09-21 18:23:17
 0  0      0 1414792  85188 2055716    0    0     0     0 6977 8516  5  4 91  0  0  0 2026-09-21 18:23:18
 0  0      0 1413028  85188 2055716    0    0     0     0 8591 10452  6  5 89  0  0  0 2026-09-21 18:23:19
 1  0      0 1455096  85188 2055716    0    0     0     0 9921 11853  8  6 87  0  0  0 2026-09-21 18:23:20
 0  0      0 1458776  85188 2055716    0    0     0     0 16172 19371 12  7 81  0  0  0 2026-09-21 18:23:21
 1  0      0 1460452  85188 2055716    0    0     0     0 13417 16483 10  6 84  0  0  0 2026-09-21 18:23:22
 0  0      0 1463204  85188 2055764    0    0     0     0 19348 23047 14  8 78  0  0  0 2026-09-21 18:23:23
 1  0      0 1463076  85188 2055764    0    0     0     0 17386 21163 13  9 78  0  0  0 2026-09-21 18:23:24
 2  0      0 1464912  85188 2055796    0    0     0     0 25512 29839 17 12 71  0  0  0 2026-09-21 18:23:25
 2  0      0 1464940  85188 2055828    0    0     0     0 29071 34985 22 10 68  0  0  0 2026-09-21 18:23:26
 0  0      0 1462928  85188 2055976    0    0     0     0 25440 28059 21 12 67  0  0  0 2026-09-21 18:23:27
 0  0      0 1460660  85188 2055976    0    0     0     0 31057 35397 24 13 64  0  0  0 2026-09-21 18:23:28
 1  0      0 1459652  85188 2055992    0    0     0     0 31750 35051 26 15 59  0  0  0 2026-09-21 18:23:29
 0  0      0 1460592  85188 2055992    0    0     0     0 30543 34721 24 13 64  0  0  0 2026-09-21 18:23:30
 3  0      0 1460492  85188 2055996    0    0     0     0 30643 36097 24 12 63  0  0  0 2026-09-21 18:23:31
 4  0      0 1458048  85188 2055996    0    0     0     0 28341 33877 22 12 66  0  0  0 2026-09-21 18:23:32
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 1455804  85188 2056124    0    0     0     0 34655 37888 30 13 57  0  0  0 2026-09-21 18:23:33
 3  0      0 1455300  85188 2056124    0    0     0     0 30745 37173 24 13 62  0  0  0 2026-09-21 18:23:34
 0  0      0 1453788  85188 2056124    0    0     0     0 30665 35499 25 13 62  0  0  0 2026-09-21 18:23:35
 2  0      0 1451568  85188 2056364    0    0     0     0 31642 32776 31 15 53  0  0  0 2026-09-21 18:23:36
 2  0      0 1436008  85188 2056476    0    0     0     0 33375 28745 31 18 51  0  0  0 2026-09-21 18:23:37
 0  0      0 1432480  85188 2056476    0    0     0    12 34660 35217 31 14 55  0  0  0 2026-09-21 18:23:38
 0  0      0 1431220  85188 2056476    0    0     0     0 29610 32902 28 13 59  0  0  0 2026-09-21 18:23:39
 1  0      0 1431220  85188 2056476    0    0     0     0 29436 35769 26 12 62  0  0  0 2026-09-21 18:23:40
 1  0      0 1432000  85188 2056476    0    0     0     0 31200 35308 27 13 61  0  0  0 2026-09-21 18:23:41
 4  0      0 1434652  85192 2056476    0    0     0   140 32415 38521 27 12 61  0  0  0 2026-09-21 18:23:42
 3  0      0 1434280  85192 2056476    0    0     0     0 34615 35835 32 15 53  0  0  0 2026-09-21 18:23:43
 4  0      0 1433052  85192 2056476    0    0     0    12 29880 33363 29 13 58  0  0  0 2026-09-21 18:23:44
 2  0      0 1432444  85192 2056588    0    0     0     0 30894 30575 30 14 56  0  0  0 2026-09-21 18:23:45
 2  0      0 1428096  85192 2056604    0    0     0     0 28750 30171 28 13 59  0  0  0 2026-09-21 18:23:46
 2  0      0 1425580  85192 2056612    0    0     0  1820 29570 33953 27 13 60  0  0  0 2026-09-21 18:23:47
 4  0      0 1425576  85192 2056612    0    0     0     0 28797 35008 26 12 63  0  0  0 2026-09-21 18:23:48
 3  0      0 1425576  85192 2056612    0    0     0     0 31097 31244 34 14 52  0  0  0 2026-09-21 18:23:49
 3  0      0 1416396  85192 2057044    0    0     0     0 40637 30302 43 24 33  0  0  0 2026-09-21 18:23:50
 3  0      0 1405980  85192 2057140    0    0     0     0 32858 27285 36 18 46  0  0  0 2026-09-21 18:23:51
 1  0      0 1399716  85192 2057140    0    0     0     0 32364 29690 36 16 48  0  0  0 2026-09-21 18:23:52
 1  0      0 1398968  85192 2057140    0    0     0     0 33086 32662 31 16 52  0  0  0 2026-09-21 18:23:53
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 3  0      0 1396004  85192 2057176    0    0     0     0 36966 34676 39 17 45  0  0  0 2026-09-21 18:23:54
 0  0      0 1395248  85192 2057176    0    0     0     0 29400 31309 32 14 54  0  0  0 2026-09-21 18:23:55
 1  0      0 1392980  85192 2057176    0    0     0     0 29747 31414 32 14 54  0  0  0 2026-09-21 18:23:56
 0  0      0 1393896  85192 2057176    0    0     0     0 29300 30273 30 14 56  0  0  0 2026-09-21 18:23:57
 0  0      0 1393388  85192 2057176    0    0     0     0 28493 33528 29 12 59  0  0  0 2026-09-21 18:23:58
 2  0      0 1393196  85192 2057176    0    0     0     0 28304 29108 34 14 52  0  0  0 2026-09-21 18:23:59
 1  0      0 1375984  85192 2057748    0    0     0     0 39570 22723 50 25 26  0  0  0 2026-09-21 18:24:00
 2  0      0 1357392  85192 2057968    0    0     0     0 34839 23918 45 20 35  0  0  0 2026-09-21 18:24:01
 2  0      0 1354144  85196 2057972    0    0     0  1360 31629 27554 35 16 49  0  0  0 2026-09-21 18:24:02
 0  0      0 1354144  85196 2057972    0    0     0     0 32539 29269 35 16 49  0  0  0 2026-09-21 18:24:03
 0  0      0 1353420  85196 2057972    0    0     0     0 31181 27583 34 15 50  0  0  0 2026-09-21 18:24:04
 2  0      0 1351908  85196 2057972    0    0     0     0 27384 26422 37 13 49  0  0  0 2026-09-21 18:24:05
 0  0      0 1351912  85196 2057972    0    0     0     0 31004 31807 30 12 58  0  0  0 2026-09-21 18:24:06
 2  0      0 1351912  85196 2057972    0    0     0     0 29781 30742 34 14 52  0  0  0 2026-09-21 18:24:07
 3  0      0 1351912  85196 2057972    0    0     0     0 30881 31131 37 12 51  0  0  0 2026-09-21 18:24:08
 0  0      0 1351688  85196 2057972    0    0     0     0 21803 20966 29  9 62  0  0  0 2026-09-21 18:24:09
 0  0      0 1352316  85196 2057972    0    0     0     0 26958 25552 38 13 49  0  0  0 2026-09-21 18:24:10
 0  0      0 1352076  85196 2058048    0    0     0     0 24465 27129 32 11 57  0  0  0 2026-09-21 18:24:11
 0  0      0 1352076  85196 2058048    0    0     0     4 26751 34150 29 11 60  0  0  0 2026-09-21 18:24:12
 1  0      0 1337452  85196 2058992    0    0     0    52 37318 18888 54 24 21  0  0  0 2026-09-21 18:24:13
 0  0      0 1325392  85196 2058992    0    0     0     0 41117 35202 37 22 40  0  0  0 2026-09-21 18:24:14
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0      0 1297964  85196 2058992    0    0     0    20 28229 18507 47 15 38  0  0  0 2026-09-21 18:24:15
 0  0      0 1280828  85196 2059048    0    0     0     0 18585 15565 24 11 66  0  0  0 2026-09-21 18:24:16
 0  0      0 1280828  85196 2059048    0    0     0     0  857 1167  3  2 96  0  0  0 2026-09-21 18:24:17
 0  0      0 1280828  85196 2059048    0    0     0  1244  754  947  2  2 96  0  0  0 2026-09-21 18:24:18
 0  0      0 1280828  85196 2059052    0    0     0     0  849 1032  2  2 96  0  0  0 2026-09-21 18:24:19
 0  0      0 1280628  85196 2059052    0    0     0     0  861 1059  2  2 96  0  0  0 2026-09-21 18:24:20
 1  0      0 1257856  85196 2058620    0    0     0     0 9981 9452 16  8 76  0  0  0 2026-09-21 18:24:21
