procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0      0 1178956 103128 1308360    0    0    68  3478 6115   32 25  5 68  2  0  0 2026-09-21 18:23:12
 0  0      0 1179020 103128 1308260    0    0     0     0  393  595  0  0 99  0  0  0 2026-09-21 18:23:13
 1  1      0 1278012 103128 1206176    0    0     0 27800 5550 10632 10  4 42 45  0  0 2026-09-21 18:23:14
 0  0      0 1269112 103128 1223508    0    0     0 26636 4223 7388 23  3 51 24  0  0 2026-09-21 18:23:15
 0  0      0 1269112 103128 1223540    0    0     0  1976 2380 3633  2  1 94  3  0  0 2026-09-21 18:23:16
 0  0      0 1269112 103128 1223712    0    0     0  1544 2004 3472  2  1 95  3  0  0 2026-09-21 18:23:17
 0  0      0 1269112 103128 1223776    0    0     0  8228 3431 5233  4  2 91  4  0  0 2026-09-21 18:23:18
12  0      0 1269112 103128 1224136    0    0     0  1624 3074 4416  3  1 92  3  0  0 2026-09-21 18:23:19
 0  0      0 1269112 103128 1224224    0    0     0  1632 3397 4990  3  1 93  3  0  0 2026-09-21 18:23:20
 0  0      0 1267624 103128 1225784    0    0     0  2988 4435 6006  7  3 87  4  0  0 2026-09-21 18:23:21
 0  0      0 1267624 103128 1225948    0    0     0  1640 3577 5437  3  2 93  3  0  0 2026-09-21 18:23:22
 0  0      0 1266152 103128 1226468    0    0     0  1828 5189 6827  9  2 87  2  0  0 2026-09-21 18:23:23
 1  0      0 1266056 103128 1226688    0    0     0  1780 3955 5729  4  2 91  3  0  0 2026-09-21 18:23:24
 0  0      0 1266056 103128 1227456    0    0     0  2220 7033 8529 13  3 81  3  0  0 2026-09-21 18:23:25
 0  0      0 1266056 103128 1227792    0    0     0  1956 5120 7017  5  2 90  4  0  0 2026-09-21 18:23:26
 0  0      0 1263352 103128 1228980    0    0     0  2480 9712 11221 20  7 71  3  0  0 2026-09-21 18:23:27
 0  0      0 1263352 103128 1229404    0    0     0  2072 6461 8495  8  2 87  3  0  0 2026-09-21 18:23:28
 0  0      0 1263352 103128 1230436    0    0     0  2612 8102 10925 12  4 79  4  0  0 2026-09-21 18:23:29
 0  0      0 1263352 103128 1230880    0    0     0  1896 5197 7692  6  2 90  3  0  0 2026-09-21 18:23:30
 0  0      0 1263112 103128 1231652    0    0     0  2320 6904 8689 10  4 82  4  0  0 2026-09-21 18:23:31
 1  0      0 1263112 103128 1231892    0    0     0  3296 4510 6560  5  2 89  5  0  0 2026-09-21 18:23:32
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 1263112 103128 1232920    0    0     0  5384 9358 11221 16  4 73  8  0  0 2026-09-21 18:23:33
 1  0      0 1263112 103128 1233240    0    0     0  4580 5574 7893  7  3 84  7  0  0 2026-09-21 18:23:34
 1  0      0 1262872 103128 1233872    0    0     0  4232 6275 8525  7  3 83  8  0  0 2026-09-21 18:23:35
102  0      0 1262744 103128 1235028    0    0     0  4404 10599 11086 22  7 67  5  0  0 2026-09-21 18:23:36
 1  0      0 1254456 103128 1244808    0    0     0 13208 12027 13720 26  7 60  7  0  0 2026-09-21 18:23:37
 3  0      0 1254456 103128 1245656    0    0     0  9528 9038 11585 12  4 78  7  0  0 2026-09-21 18:23:38
 1  0      0 1254232 103128 1246248    0    0     0  4164 6791 9195  8  3 84  6  0  0 2026-09-21 18:23:39
 3  0      0 1254216 103128 1246672    0    0     0  3736 5624 7979  6  2 87  6  0  0 2026-09-21 18:23:40
 8  0      0 1254216 103128 1247232    0    0     0  3684 7195 9560  9  3 83  6  0  0 2026-09-21 18:23:41
 1  1      0 1251144 103128 1250856    0    0     0  6564 6286 8263  7  4 83  7  0  0 2026-09-21 18:23:42
 1  0      0 1245000 103128 1257872    0    0     0 26496 9495 12124 17  6 71  7  0  0 2026-09-21 18:23:43
 1  0      0 1245000 103128 1258316    0    0     0  2944 5444 7502  7  2 86  5  0  0 2026-09-21 18:23:44
 1  0      0 1243776 103128 1260204    0    0     0  3388 8342 9162 17  4 76  3  0  0 2026-09-21 18:23:45
 0  0      0 1242448 103128 1261688    0    0     0  4384 5951 8224  8  3 84  6  0  0 2026-09-21 18:23:46
 0  0      0 1241948 103128 1262036    0    0     0  2912 4311 6336  5  2 89  5  0  0 2026-09-21 18:23:47
 0  0      0 1240920 103128 1263308    0    0     0  3700 4071 5685  4  2 90  5  0  0 2026-09-21 18:23:48
37  0      0 1240720 103128 1264252    0    0     0  2476 7525 8561 17  4 75  4  0  0 2026-09-21 18:23:49
 1  0      0 1239408 103128 1266972    0    0     0  5764 20198 21130 68 17 16  1  0  0 2026-09-21 18:23:50
12  0      0 1238656 103128 1268184    0    0     0  4332 11850 14810 28  6 63  3  0  0 2026-09-21 18:23:51
 0  0      0 1238148 103128 1269148    0    0     0  4700 9607 12021 15  4 74  7  0  0 2026-09-21 18:23:52
 0  0      0 1237948 103128 1270064    0    0     0  6208 9776 13169 14  5 69 12  0  0 2026-09-21 18:23:53
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 1228708 103128 1279856    0    0     0 13992 13496 16447 24  9 59  8  0  0 2026-09-21 18:23:54
 1  0      0 1228456 103128 1280488    0    0     0  4928 8247 11346 11  2 80  7  0  0 2026-09-21 18:23:55
 0  0      0 1228204 103128 1281188    0    0     0  4820 6749 9025  9  3 82  7  0  0 2026-09-21 18:23:56
 0  0      0 1226728 103128 1282676    0    0     0  5528 7007 9227  9  3 82  7  0  0 2026-09-21 18:23:57
 0  0      0 1226424 103128 1283280    0    0     0  4424 5564 7715  6  2 85  7  0  0 2026-09-21 18:23:58
 0  0      0 1225200 103128 1284656    0    0     0  4996 6002 8380  8  3 83  7  0  0 2026-09-21 18:23:59
90  0      0 1221340 103128 1290064    0    0     0  8404 24003 21376 71 19  9  1  0  0 2026-09-21 18:24:00
