COMMAND                   AVG_CPU%
nginx                         73.5
landscape-sysin                0.5
pidstat                        0.4
rcu_sched                      0.1
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
polkitd                        0.0
ModemManager                   0.0
kworker/u8:3-kvfree_rcu_reclaim       0.0
kworker/u8:1+flush-259:0       0.0
kworker/u8:1-flush-259:0       0.0
kworker/u8:1-ext4-rsv-conversion       0.0
kworker/u8:0-events_power_efficient       0.0
