procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6749932  34272 824368    0    0   185   231 3499   12  1  1 98  0  0  0 2026-09-21 16:19:46
 0  0      0 6734952  34312 824384    0    0     0  6624 2484 2183  3  1 95  1  0  0 2026-09-21 16:19:47
 0  0      0 6734952  34312 824384    0    0     0     0   89   89  0  0 100  0  0  0 2026-09-21 16:19:48
 2  0      0 6730652  34312 824384    0    0     0     0 6880 9637  2  1 97  0  0  0 2026-09-21 16:19:49
 1  0      0 6726384  34312 824384    0    0     0     0 12995 20038  4  2 94  0  0  0 2026-09-21 16:19:50
 0  0      0 6722500  34312 824384    0    0     0    52 18652 28514  5  2 93  0  0  0 2026-09-21 16:19:51
 0  0      0 6711572  34312 824388    0    0     0     0 23655 34724  8  3 89  0  0  0 2026-09-21 16:19:52
 0  0      0 6699168  34312 824392    0    0     0     0 28083 39417  9  3 87  0  0  0 2026-09-21 16:19:53
 0  0      0 6682060  34312 824392    0    0     0     0 26883 37521  9  4 87  0  0  0 2026-09-21 16:19:54
 0  0      0 6677776  34312 824396    0    0     0     0 22836 32468  6  3 91  0  0  0 2026-09-21 16:19:55
 0  0      0 6666692  34312 824396    0    0     0  3492 25314 35889  7  3 89  0  0  0 2026-09-21 16:19:56
 0  0      0 6654096  34312 824400    0    0     0     0 25618 35563  8  3 89  0  0  0 2026-09-21 16:19:57
 0  0      0 6653088  34312 824420    0    0     0     8 25318 35478  7  3 90  0  0  0 2026-09-21 16:19:58
 2  0      0 6637716  34312 824420    0    0     0     0 24632 33614  8  3 89  0  0  0 2026-09-21 16:19:59
 0  0      0 6636232  34312 824420    0    0     0     0 23300 32540  7  3 90  0  0  0 2026-09-21 16:20:00
 0  0      0 6634468  34312 824428    0    0     0     0 23142 32262  6  3 91  0  0  0 2026-09-21 16:20:01
 0  0      0 6616180  34312 824432    0    0     0     0 22620 31122  7  3 91  0  0  0 2026-09-21 16:20:02
 0  0      0 6616128  34312 824432    0    0     0     0 20105 27732  5  2 93  0  0  0 2026-09-21 16:20:03
 0  0      0 6615120  34312 824436    0    0     0     0 21847 29953  5  2 92  0  0  0 2026-09-21 16:20:04
 0  0      0 6612644  34312 824436    0    0     0     0 19874 27232  5  2 92  0  0  0 2026-09-21 16:20:05
 0  0      0 6603528  34312 824436    0    0     0     0 20853 28431  7  3 91  0  0  0 2026-09-21 16:20:06
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6603528  34312 824436    0    0     0     0 21185 29421  6  2 92  0  0  0 2026-09-21 16:20:07
 0  0      0 6602520  34312 824436    0    0     0     0 21873 30574  6  3 92  0  0  0 2026-09-21 16:20:08
 0  0      0 6593144  34312 824436    0    0     0     0 21271 28329  7  3 91  0  0  0 2026-09-21 16:20:09
 0  0      0 6592944  34312 824456    0    0     0     0 21902 31274  5  2 93  0  0  0 2026-09-21 16:20:10
 0  0      0 6592176  34312 824456    0    0     0     0 23715 33491  5  3 92  0  0  0 2026-09-21 16:20:11
 0  0      0 6591240  34312 824460    0    0     0     0 22120 30865  6  2 93  0  0  0 2026-09-21 16:20:12
 0  0      0 6582812  34312 824460    0    0     0     0 23396 32387  7  3 90  0  0  0 2026-09-21 16:20:13
 0  0      0 6582424  34312 824460    0    0     0     0 18587 26073  4  2 94  0  0  0 2026-09-21 16:20:14
 0  0      0 6581416  34312 824460    0    0     0     0 24546 34077  6  3 90  0  0  0 2026-09-21 16:20:15
 0  0      0 6580236  34312 824460    0    0     0     0 22132 31352  6  3 92  0  0  0 2026-09-21 16:20:16
 0  0      0 6570340  34312 824476    0    0     0     0 21778 29658  7  3 90  0  0  0 2026-09-21 16:20:17
 0  0      0 6569824  34320 824476    0    0     0    52 23447 32972  6  3 92  0  0  0 2026-09-21 16:20:18
 0  0      0 6569584  34320 824476    0    0     0     0 19852 27922  5  2 93  0  0  0 2026-09-21 16:20:19
 0  0      0 6567956  34320 824476    0    0     0     0 23287 32627  6  3 92  0  0  0 2026-09-21 16:20:20
 0  0      0 6552700  34320 824492    0    0     0     0 20431 28552  5  2 93  0  0  0 2026-09-21 16:20:21
 0  0      0 6549424  34320 824496    0    0     0     0 22959 31876  7  2 90  0  0  0 2026-09-21 16:20:22
 0  0      0 6547156  34320 824500    0    0     0     0 19897 27841  6  2 93  0  0  0 2026-09-21 16:20:23
 0  0      0 6546400  34320 824500    0    0     0     0 20870 29542  5  2 93  0  0  0 2026-09-21 16:20:24
 0  0      0 6546400  34320 824500    0    0     0     0 22767 32178  6  3 91  0  0  0 2026-09-21 16:20:25
 0  0      0 6535900  34320 824516    0    0     0     0 23000 31383  8  2 90  0  0  0 2026-09-21 16:20:26
 1  0      0 6534572  34320 824520    0    0     0     0 20964 29610  6  3 92  0  0  0 2026-09-21 16:20:27
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6534344  34320 824520    0    0     0     0 20450 28284  5  3 92  0  0  0 2026-09-21 16:20:28
 1  0      0 6533404  34320 824520    0    0     0    12 18889 25987  6  2 92  0  0  0 2026-09-21 16:20:29
 0  0      0 6533084  34320 824520    0    0     0     0 20791 28550  6  3 91  0  0  0 2026-09-21 16:20:30
 0  0      0 6521116  34320 824524    0    0     0     0 22027 30687  6  3 91  0  0  0 2026-09-21 16:20:31
 0  0      0 6512168  34320 824556    0    0     0  2444 22012 30735  8  3 89  0  0  0 2026-09-21 16:20:32
