COMMAND                   AVG_CPU%
mysqld                       265.8
pidstat                        2.0
kworker/1:0-events             0.1
kworker/0:3-events             0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
udisksd                        0.0
systemd-resolve                0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
rsyslogd                       0.0
rcu_sched                      0.0
polkitd                        0.0
