procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 15160476  19516 361280    0    0   107   112 26616   18 19  3 78  0  0  0 2026-09-21 18:34:24
 0  0      0 15130856  19516 361284    0    0     0     0 2825 2513  2  1 98  0  0  0 2026-09-21 18:34:25
 0  0      0 15136584  19516 361284    0    0     0     0   54   56  0  0 100  0  0  0 2026-09-21 18:34:26
 0  0      0 15130072  19516 361284    0    0     0     0 10868 12044  2  1 97  0  0  0 2026-09-21 18:34:27
 0  0      0 15128880  19516 361284    0    0     0     0 4730 5184  1  0 99  0  0  0 2026-09-21 18:34:28
 0  0      0 15124100  19516 361284    0    0     0     0 11771 13270  3  1 96  0  0  0 2026-09-21 18:34:29
 0  0      0 15108360  19516 361284    0    0     0     0 13194 14406  5  1 94  0  0  0 2026-09-21 18:34:30
 0  0      0 15081648  19516 361284    0    0     0     0 17511 18459  8  2 91  0  0  0 2026-09-21 18:34:31
 0  0      0 15075348  19516 361284    0    0     0     0 18636 19888  8  1 91  0  0  0 2026-09-21 18:34:32
 0  0      0 15042084  19516 361284    0    0     0     0 22072 21245  9  2 90  0  0  0 2026-09-21 18:34:33
 0  0      0 14977572  19516 361284    0    0     0     0 22056 20677 10  2 88  0  0  0 2026-09-21 18:34:34
 7  0      0 14959444  19516 361284    0    0     0     0 33642 29179 15  2 83  0  0  0 2026-09-21 18:34:35
 8  0      0 14853128  19516 361284    0    0     0     0 38522 32749 15  4 81  0  0  0 2026-09-21 18:34:36
 0  0      0 14797156  19516 361284    0    0     0     0 45817 38485 18  4 78  0  0  0 2026-09-21 18:34:37
 9  0      0 14696984  19516 361284    0    0     0     0 54450 43496 22  5 73  0  0  0 2026-09-21 18:34:38
 3  0      0 14553872  19516 361284    0    0     0     0 69169 47184 32  7 61  0  0  0 2026-09-21 18:34:39
 5  0      0 14268368  19516 361284    0    0     0     0 81389 49512 36  9 55  0  0  0 2026-09-21 18:34:40
 8  0      0 14144160  19516 361284    0    0     0     0 85580 51447 42  9 49  0  0  0 2026-09-21 18:34:41
 8  0      0 13811092  19516 361444    0    0     0     0 100376 47130 48 12 40  0  0  0 2026-09-21 18:34:42
 8  0      0 13463916  19516 361584    0    0     0     0 113087 41757 59 14 27  0  0  0 2026-09-21 18:34:43
