COMMAND                   AVG_CPU%
isuride                       85.0
pidstat                        0.5
rcu_sched                      0.1
mysql                          0.1
udisksd                        0.0
systemd                        0.0
snapd                          0.0
sh                             0.0
multipathd                     0.0
kworker/u8:4-events_unbound       0.0
kworker/u8:3-events_power_efficient       0.0
kworker/1:0-events             0.0
kworker/0:1-events             0.0
ksoftirqd/1                    0.0
ksoftirqd/0                    0.0
