COMMAND                   AVG_CPU%
mysqld                       104.7
pidstat                        0.4
jbd2/nvme0n1p1-8               0.2
vmstat                         0.0
udisksd                        0.0
systemd-journal                0.0
rcu_sched                      0.0
multipathd                     0.0
kworker/u8:1-events_unbound       0.0
kworker/u8:1-events_power_efficient       0.0
kworker/u8:0-writeback         0.0
kworker/1:1-events             0.0
kworker/0:1H-kblockd           0.0
kworker/0:0-events             0.0
ksoftirqd/0                    0.0
