COMMAND                   AVG_CPU%
isuride                      103.2
pidstat                        0.5
sh                             0.1
rcu_sched                      0.1
mysql                          0.1
ksoftirqd/1                    0.1
systemd-journal                0.0
migration/0                    0.0
kworker/u8:3-events_power_efficient       0.0
kworker/u8:1-events_power_efficient       0.0
kworker/1:0-events             0.0
kworker/0:3-events             0.0
ksoftirqd/0                    0.0
gzip                           0.0
chronyd                        0.0
