procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 1862720 103816 1199256    0    0   479  3187 3107   34 27  6 64  2  0  0 2026-09-21 16:01:53
 1  0      0 1860920 103816 1199204    0    0     0     0 1649 1978  7  4 89  0  0  0 2026-09-21 16:01:54
 3  2      0 1816464 103816 1190580    0    0     0 32280 5576 11149 27  5 36 31  0  0 2026-09-21 16:01:55
 2  0      0 1799140 103820 1206992    0    0     0 21688 6619 10119 25  5 46 24  0  0 2026-09-21 16:01:56
19  0      0 1796700 103820 1210108    0    0     0  1364 13199 31499 61 26 12  1  0  0 2026-09-21 16:01:57
21  0      0 1793540 103820 1213968    0    0     0 25956 11976 31268 66 33  1  0  0  0 2026-09-21 16:01:58
17  0      0 1796796 103820 1217820    0    0     0  1288 11939 28959 69 31  1  0  0  0 2026-09-21 16:01:59
18  0      0 1798692 103820 1221652    0    0     0  1172 12526 28762 69 31  1  0  0  0 2026-09-21 16:02:00
25  0      0 1796972 103820 1225440    0    0     0  2376 11656 28867 71 29  0  0  0  0 2026-09-21 16:02:01
 7  0      0 1793472 103820 1229376    0    0     0  1012 11315 26878 70 30  0  0  0  0 2026-09-21 16:02:02
16  0      0 1789200 103820 1233140    0    0     0 26352 11122 26067 70 30  0  0  0  0 2026-09-21 16:02:03
14  0      0 1784012 103820 1237056    0    0     0   888 8853 22696 70 30  1  0  0  0 2026-09-21 16:02:04
43  0      0 1780700 103820 1241156    0    0     0   996 9275 24938 73 28  0  0  0  0 2026-09-21 16:02:05
36  0      0 1776040 103820 1244756    0    0     0  1064 11163 25173 71 30  0  0  0  0 2026-09-21 16:02:06
15  0      0 1772528 103820 1248532    0    0     0   960 10586 24781 72 28  1  0  0  0 2026-09-21 16:02:07
12  0      0 1767468 103820 1252244    0    0     0 39648 11345 26092 71 30  0  0  0  0 2026-09-21 16:02:08
15  0      0 1762780 103820 1255924    0    0     0  1012 11034 25336 71 30  0  0  0  0 2026-09-21 16:02:09
18  0      0 1757600 103820 1259732    0    0     0   884 10014 23874 69 30  1  0  0  0 2026-09-21 16:02:10
15  0      0 1754092 103820 1263584    0    0     0   948 8581 22988 71 30  0  0  0  0 2026-09-21 16:02:11
26  0      0 1749116 103820 1267748    0    0     0  1092 10648 25665 69 32  0  0  0  0 2026-09-21 16:02:12
19  0      0 1744184 103820 1271516    0    0     0 67132 9074 22492 69 29  1  1  0  0 2026-09-21 16:02:13
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
34  0      0 1739100 103820 1275416    0    0     0   844 7774 22506 70 30  0  0  0  0 2026-09-21 16:02:14
17  0      0 1734948 103820 1279536    0    0     0   880 8748 22946 71 29  0  0  0  0 2026-09-21 16:02:15
