procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6751860  33956 823636    0    0   327   328 2057    7  1  0 98  1  0  0 2026-09-21 16:01:53
 0  0      0 6735544  33956 823688    0    0     0     0 2380 2460  3  1 95  0  0  0 2026-09-21 16:01:54
 0  0      0 6735544  33956 823688    0    0     0     0   43   47  0  0 100  0  0  0 2026-09-21 16:01:55
 0  0      0 6729496  33956 823704    0    0     0     0 11266 14735  4  2 94  0  0  0 2026-09-21 16:01:56
 0  0      0 6728740  33956 823704    0    0     0     0 10981 17025  2  1 97  0  0  0 2026-09-21 16:01:57
 0  0      0 6725868  33956 823704    0    0     0     0 11282 17143  2  2 96  0  0  0 2026-09-21 16:01:58
 0  0      0 6725788  33956 823704    0    0     0     0 13243 19616  4  2 95  0  0  0 2026-09-21 16:01:59
 0  0      0 6723600  33956 823704    0    0     0     0 14220 20878  4  1 95  0  0  0 2026-09-21 16:02:00
 0  0      0 6722580  33956 823704    0    0     0     0 11717 17191  3  1 96  0  0  0 2026-09-21 16:02:01
 0  0      0 6717304  33956 823704    0    0     0     0 11875 16849  3  1 96  0  0  0 2026-09-21 16:02:02
 0  0      0 6714220  33956 823704    0    0     0     0 12313 17892  3  1 96  0  0  0 2026-09-21 16:02:03
 0  0      0 6711760  33956 823704    0    0     0     0 13609 19575  4  2 94  0  0  0 2026-09-21 16:02:04
 0  0      0 6708836  33956 823704    0    0     0     0 11102 15899  2  1 97  0  0  0 2026-09-21 16:02:05
 0  0      0 6706720  33956 823692    0    0     0     0 10654 15325  3  1 96  0  0  0 2026-09-21 16:02:06
 1  0      0 6706204  33956 823692    0    0     0     0 10959 16042  3  1 96  0  0  0 2026-09-21 16:02:07
 1  0      0 6704956  33956 823692    0    0     0     0 11109 16121  3  1 96  0  0  0 2026-09-21 16:02:08
 1  0      0 6699812  33956 823692    0    0     0     0 10950 15576  3  1 96  0  0  0 2026-09-21 16:02:09
 0  0      0 6699664  33956 823696    0    0     0     0 12333 18515  3  1 96  0  0  0 2026-09-21 16:02:10
 0  0      0 6698060  33956 823696    0    0     0     0 11852 17249  2  1 97  0  0  0 2026-09-21 16:02:11
 1  0      0 6692824  33956 823696    0    0     0     0 9959 14322  3  1 96  0  0  0 2026-09-21 16:02:12
 0  0      0 6690592  33956 823712    0    0     0     0 13217 19153  3  1 96  0  0  0 2026-09-21 16:02:13
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6688976  33956 823712    0    0     0     0 11910 18133  2  1 97  0  0  0 2026-09-21 16:02:14
 0  0      0 6686216  33956 823712    0    0     0     0 12292 18317  3  1 96  0  0  0 2026-09-21 16:02:15
 0  0      0 6683352  33956 823712    0    0     0     0 12441 17987  3  2 95  0  0  0 2026-09-21 16:02:16
 0  0      0 6683032  33956 823712    0    0     0     0 10188 14872  2  1 96  0  0  0 2026-09-21 16:02:17
 0  0      0 6682172  33956 823712    0    0     0     0 12183 17445  4  1 96  0  0  0 2026-09-21 16:02:18
 0  0      0 6676480  33956 823712    0    0     0     0 10649 15647  3  1 96  0  0  0 2026-09-21 16:02:19
 0  0      0 6673024  33956 823712    0    0     0     0 12166 17780  4  1 95  0  0  0 2026-09-21 16:02:20
 1  0      0 6672772  33956 823712    0    0     0     0 12086 17475  3  1 96  0  0  0 2026-09-21 16:02:21
 0  0      0 6670468  33956 823716    0    0     0     0 12731 18265  3  1 96  0  0  0 2026-09-21 16:02:22
 2  0      0 6660056  33956 823720    0    0     0     0 11462 16380  4  2 95  0  0  0 2026-09-21 16:02:23
 0  0      0 6660056  33964 823756    0    0     0  6872 10518 15238  2  1 96  1  0  0 2026-09-21 16:02:24
 0  0      0 6659368  33964 823756    0    0     0     0 12264 17811  3  1 96  0  0  0 2026-09-21 16:02:25
 2  0      0 6659048  33964 823756    0    0     0     0 11863 17656  3  1 97  0  0  0 2026-09-21 16:02:26
 0  0      0 6653888  33964 823756    0    0     0     0 13571 19740  3  2 95  0  0  0 2026-09-21 16:02:27
 0  0      0 6646952  33964 823760    0    0     0     0 10633 15427  2  1 97  0  0  0 2026-09-21 16:02:28
 0  0      0 6643424  33964 823760    0    0     0     0 12179 17303  4  2 95  0  0  0 2026-09-21 16:02:29
 1  0      0 6642908  33964 823760    0    0     0     0 11308 16387  2  1 97  0  0  0 2026-09-21 16:02:30
 0  0      0 6642416  33964 823760    0    0     0     0 12480 18174  3  1 96  0  0  0 2026-09-21 16:02:31
 0  0      0 6641556  33964 823760    0    0     0     0 11488 16693  3  1 95  0  0  0 2026-09-21 16:02:32
 0  0      0 6640904  33964 823776    0    0     0     0 11392 16539  2  1 97  0  0  0 2026-09-21 16:02:33
 0  0      0 6628320  33964 823776    0    0     0     0 11769 16688  4  1 95  0  0  0 2026-09-21 16:02:34
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 6628052  33964 823776    0    0     0     0 10330 14923  2  1 97  0  0  0 2026-09-21 16:02:35
 0  0      0 6627708  33964 823776    0    0     0     0 11764 17093  3  1 96  0  0  0 2026-09-21 16:02:36
 0  0      0 6627548  33964 823776    0    0     0     0 10870 15707  3  1 97  0  0  0 2026-09-21 16:02:37
 0  0      0 6627120  33964 823780    0    0     0     0 12500 18327  4  1 95  0  0  0 2026-09-21 16:02:38
 0  0      0 6625040  33964 823796    0    0     0     0 12355 17832  2  1 97  0  0  0 2026-09-21 16:02:39
 5  0      0 6617524  33964 823796    0    0     0     0 12416 18128  3  2 96  0  0  0 2026-09-21 16:02:40
 0  0      0 6609976  33964 823812    0    0     0     0 12340 18299  4  1 95  0  0  0 2026-09-21 16:02:41
 0  0      0 6609920  33964 823812    0    0     0     0 11131 15877  3  1 96  0  0  0 2026-09-21 16:02:42
 0  0      0 6609324  33964 823816    0    0     0     0 10840 15472  3  1 96  0  0  0 2026-09-21 16:02:43
 0  0      0 6609164  33964 823816    0    0     0     0 11115 16202  3  1 96  0  0  0 2026-09-21 16:02:44
 0  0      0 6607960  33964 823816    0    0     0     0 12201 17684  3  1 96  0  0  0 2026-09-21 16:02:45
 0  0      0 6607652  33964 823816    0    0     0     0 10994 16092  2  1 97  0  0  0 2026-09-21 16:02:46
 0  0      0 6604032  33964 823816    0    0     0     0 11162 16277  3  1 96  0  0  0 2026-09-21 16:02:47
 2  0      0 6591964  33964 823816    0    0     0     0 12502 17846  3  1 95  0  0  0 2026-09-21 16:02:48
 0  0      0 6591776  33964 823816    0    0     0     0 13286 19801  3  2 96  0  0  0 2026-09-21 16:02:49
 0  0      0 6591432  33964 823816    0    0     0     0 10181 14511  3  1 96  0  0  0 2026-09-21 16:02:50
 0  0      0 6591272  33964 823816    0    0     0     0 12458 18083  3  2 95  0  0  0 2026-09-21 16:02:51
 0  0      0 6590928  33964 823816    0    0     0     0 13123 19473  3  1 95  0  0  0 2026-09-21 16:02:52
 0  0      0 6590768  33964 823816    0    0     0     0 9570 13657  3  1 97  0  0  0 2026-09-21 16:02:53
