procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6741124  33916 823456    0    0   368   355 1732    6  1  0 98  1  0  0 2026-09-21 15:59:17
 0  0      0 6730496  33916 823452    0    0     0     0 2215 2030  3  2 96  0  0  0 2026-09-21 15:59:18
 0  0      0 6730496  33916 823452    0    0     0     0   60   94  0  0 100  0  0  0 2026-09-21 15:59:19
 0  0      0 6727220  33916 823452    0    0     0     0 8714 11750  4  1 95  0  0  0 2026-09-21 15:59:20
 0  0      0 6723440  33916 823452    0    0     0     0 12720 20069  3  1 96  0  0  0 2026-09-21 15:59:21
 0  0      0 6723188  33916 823452    0    0     0     0 12406 20854  2  1 97  0  0  0 2026-09-21 15:59:22
 1  0      0 6723544  33916 823452    0    0     0     0 12514 20391  2  1 97  0  0  0 2026-09-21 15:59:23
 0  0      0 6725624  33916 823452    0    0     0     0 11473 18622  2  1 97  0  0  0 2026-09-21 15:59:24
 0  0      0 6725732  33916 823452    0    0     0     0 11150 17421  3  1 96  0  0  0 2026-09-21 15:59:25
 2  0      0 6725248  33916 823452    0    0     0     0 11109 17567  2  1 97  0  0  0 2026-09-21 15:59:26
 0  0      0 6725248  33916 823452    0    0     0     0 10812 16776  2  1 97  0  0  0 2026-09-21 15:59:27
 0  0      0 6724492  33916 823452    0    0     0     0 10430 15811  2  1 97  0  0  0 2026-09-21 15:59:28
 0  0      0 6723976  33916 823452    0    0     0     0 11849 17861  2  1 96  0  0  0 2026-09-21 15:59:29
 0  0      0 6723484  33916 823452    0    0     0     0 11395 16954  3  1 96  0  0  0 2026-09-21 15:59:30
 0  0      0 6723060  33916 823452    0    0     0     0 11097 16627  2  1 97  0  0  0 2026-09-21 15:59:31
 0  0      0 6722476  33916 823452    0    0     0     0 11632 17350  3  1 96  0  0  0 2026-09-21 15:59:32
 0  0      0 6722304  33916 823452    0    0     0  7052 11187 16764  2  2 96  1  0  0 2026-09-21 15:59:33
 0  0      0 6722224  33916 823452    0    0     0     0 10937 16364  2  1 97  0  0  0 2026-09-21 15:59:34
 0  0      0 6721972  33916 823452    0    0     0     0 10885 15937  3  1 96  0  0  0 2026-09-21 15:59:35
 0  0      0 6721216  33916 823452    0    0     0     0 11051 16360  3  1 96  0  0  0 2026-09-21 15:59:36
 0  0      0 6721216  33916 823452    0    0     0     0 11040 16045  3  1 96  0  0  0 2026-09-21 15:59:37
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6719452  33916 823452    0    0     0     0 11614 16795  3  1 96  0  0  0 2026-09-21 15:59:38
 2  0      0 6719452  33916 823452    0    0     0     0 11274 16772  3  1 97  0  0  0 2026-09-21 15:59:39
