COMMAND                   AVG_CPU%
nginx                          0.6
pidstat                        0.5
mysqld                         0.4
systemd-journal                0.1
kworker/u8:5-events_power_efficient       0.1
isuride                        0.1
curl                           0.1
sh                             0.0
rsyslogd                       0.0
rcu_sched                      0.0
multipathd                     0.0
kworker/1:1-events             0.0
kworker/0:0-events             0.0
irqbalance                     0.0
chronyd                        0.0
