COMMAND                   AVG_CPU%
mysqld                       118.5
isuride                       45.1
nginx                         12.4
systemd-journal                4.3
rsyslogd                       2.1
curl                           1.1
pidstat                        0.6
rcu_sched                      0.3
mysql                          0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
jbd2/nvme0n1p1-8               0.1
systemd                        0.0
sh                             0.0
multipathd                     0.0
