COMMAND                   AVG_CPU%
nginx                        106.8
pidstat                        0.5
landscape-sysin                0.3
rcu_sched                      0.1
kworker/1:0-events             0.1
ksoftirqd/1                    0.1
vmstat                         0.0
systemd                        0.0
sshd                           0.0
polkitd                        0.0
kworker/u8:3-ext4-rsv-conversion       0.0
kworker/u8:2-ext4-rsv-conversion       0.0
kworker/u8:2-events_power_efficient       0.0
kworker/u8:1-events_power_efficient       0.0
kworker/u8:0-kvfree_rcu_reclaim       0.0
