procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6724772  34360 824256    0    0   170   221 3736   13  1  1 98  0  0  0 2026-09-21 16:23:31
 0  0      0 6714228  34360 824296    0    0     0  3108 2203 2164  3  2 95  0  0  0 2026-09-21 16:23:32
 0  0      0 6714228  34360 824296    0    0     0     0   36   55  0  0 100  0  0  0 2026-09-21 16:23:33
 0  0      0 6714572  34360 824296    0    0     0     0 11941 15496  4  2 94  0  0  0 2026-09-21 16:23:34
 0  0      0 6713796  34360 824296    0    0     0     0 6574 9841  2  1 98  0  0  0 2026-09-21 16:23:35
 0  0      0 6715080  34360 824296    0    0     0     0 15754 23102  5  2 93  0  0  0 2026-09-21 16:23:36
 0  0      0 6707776  34360 824296    0    0     0     0 18681 27271  6  2 92  0  0  0 2026-09-21 16:23:37
 1  0      0 6698956  34360 824296    0    0     0     0 23803 33706  7  3 89  0  0  0 2026-09-21 16:23:38
 0  0      0 6689128  34360 824296    0    0     0     0 20986 29668  6  3 91  0  0  0 2026-09-21 16:23:39
 0  0      0 6679304  34360 824312    0    0     0     0 26427 36079 10  4 87  0  0  0 2026-09-21 16:23:40
 1  0      0 6663180  34360 824312    0    0     0     0 27284 37425  9  4 87  0  0  0 2026-09-21 16:23:41
 0  0      0 6658712  34360 824312    0    0     0     0 23542 33431  6  3 91  0  0  0 2026-09-21 16:23:42
 1  0      0 6645288  34360 824328    0    0     0     0 22747 30966  7  2 90  0  0  0 2026-09-21 16:23:43
 0  0      0 6645288  34360 824328    0    0     0     0 21951 30850  6  3 91  0  0  0 2026-09-21 16:23:44
 0  0      0 6626640  34360 824328    0    0     0     0 23959 32169  8  3 89  0  0  0 2026-09-21 16:23:45
 0  0      0 6626388  34360 824328    0    0     0     0 19711 27109  5  2 93  0  0  0 2026-09-21 16:23:46
 0  0      0 6625632  34360 824328    0    0     0     0 20846 28041  6  2 92  0  0  0 2026-09-21 16:23:47
 0  0      0 6619512  34360 824328    0    0     0     0 21559 29600  5  2 93  0  0  0 2026-09-21 16:23:48
 0  0      0 6606984  34360 824344    0    0     0     0 22795 30098  7  3 90  0  0  0 2026-09-21 16:23:49
 0  0      0 6606984  34360 824344    0    0     0     0 23481 31684  6  3 91  0  0  0 2026-09-21 16:23:50
 0  0      0 6606984  34360 824348    0    0     0     0 23152 31884  6  3 91  0  0  0 2026-09-21 16:23:51
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6595504  34360 824348    0    0     0     0 23733 32004  8  3 90  0  0  0 2026-09-21 16:23:52
 0  0      0 6595140  34360 824364    0    0     0     0 23422 32415  6  3 91  0  0  0 2026-09-21 16:23:53
 0  0      0 6593980  34360 824368    0    0     0     0 23111 31315  6  2 91  0  0  0 2026-09-21 16:23:54
 0  0      0 6593900  34360 824404    0    0     0     0 21258 29299  6  2 92  0  0  0 2026-09-21 16:23:55
 3  0      0 6583568  34360 824408    0    0     0     0 23158 31032  8  2 89  0  0  0 2026-09-21 16:23:56
 1  0      0 6583568  34360 824408    0    0     0     0 21061 29124  5  3 93  0  0  0 2026-09-21 16:23:57
 0  0      0 6582308  34360 824440    0    0     0     0 21070 28667  6  2 92  0  0  0 2026-09-21 16:23:58
 2  0      0 6581964  34360 824440    0    0     0     0 22018 29538  7  3 90  0  0  0 2026-09-21 16:23:59
 0  0      0 6577772  34360 824440    0    0     0     0 22365 31149  5  2 92  0  0  0 2026-09-21 16:24:00
 1  0      0 6564164  34368 824444    0    0     0    64 20744 28105  7  3 90  0  0  0 2026-09-21 16:24:01
 0  0      0 6563912  34368 824444    0    0     0  6512 20194 28215  5  3 92  0  0  0 2026-09-21 16:24:02
 0  0      0 6562652  34368 824444    0    0     0     8 21120 29270  5  2 93  0  0  0 2026-09-21 16:24:03
 0  0      0 6562652  34368 824448    0    0     0     0 19794 27453  5  3 92  0  0  0 2026-09-21 16:24:04
 0  0      0 6560636  34368 824448    0    0     0     0 24112 33221  6  3 91  0  0  0 2026-09-21 16:24:05
 0  0      0 6556352  34368 824484    0    0     0     0 19248 26172  7  2 91  0  0  0 2026-09-21 16:24:06
 2  0      0 6555344  34368 824484    0    0     0     0 21815 30091  5  2 92  0  0  0 2026-09-21 16:24:07
 0  0      0 6554416  34368 824484    0    0     0     0 21962 29863  6  2 92  0  0  0 2026-09-21 16:24:08
 0  0      0 6554336  34368 824504    0    0     0     0 21711 30181  6  3 92  0  0  0 2026-09-21 16:24:09
 0  0      0 6543644  34368 824504    0    0     0     0 20637 27386  7  2 91  0  0  0 2026-09-21 16:24:10
 0  0      0 6543248  34368 824504    0    0     0     0 18234 25632  5  2 94  0  0  0 2026-09-21 16:24:11
 1  0      0 6542320  34368 824504    0    0     0     0 20560 28008  5  2 92  0  0  0 2026-09-21 16:24:12
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6541988  34368 824504    0    0     0     0 20018 27680  5  2 93  0  0  0 2026-09-21 16:24:13
 0  0      0 6539720  34368 824504    0    0     0     0 24377 33329  6  3 91  0  0  0 2026-09-21 16:24:14
 0  0      0 6538208  34368 824508    0    0     0     0 18878 26591  5  2 93  0  0  0 2026-09-21 16:24:15
 5  0      0 6524348  34368 824508    0    0     0     0 18987 26020  7  2 91  0  0  0 2026-09-21 16:24:16
 0  0      0 6523672  34368 824508    0    0     0     0 22500 31217  6  2 92  0  0  0 2026-09-21 16:24:17
 0  0      0 6523592  34368 824544    0    0     0     0 20151 28343  5  2 93  0  0  0 2026-09-21 16:24:18
 1  0      0 6522572  34368 824544    0    0     0     0 21914 30626  5  3 92  0  0  0 2026-09-21 16:24:19
 0  0      0 6522332  34368 824560    0    0     0     0 20119 28283  5  2 93  0  0  0 2026-09-21 16:24:20
 0  0      0 6516464  34368 824560    0    0     0     0 21161 28990  6  2 92  0  0  0 2026-09-21 16:24:21
