procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 2747152  21568 460720    0    0 24655  1952 2981   21 22 23 48  6  1  0 2026-09-21 22:13:50
 0  0      0 2772484  22956 420196    0    0   348  6952 3024 5581  3  2 86 10  0  0 2026-09-21 22:13:52
 0  1      0 2711960  24916 453008    0    0   316 41684 4661 9174 18  4 45 33  0  0 2026-09-21 22:13:53
 0  0      0 2666816  25172 454716    0    0   264  4500 3422 4621 13  4 78  5  0  0 2026-09-21 22:13:54
 0  0      0 2666568  25236 454800    0    0    16   648 1766 3000  2  1 97  1  0  0 2026-09-21 22:13:55
 0  0      0 2666568  25292 454944    0    0    16   548 2892 4378  2  1 96  2  0  0 2026-09-21 22:13:56
 1  0      0 2666568  25364 455136    0    0    16   708 2935 4456  2  1 96  1  0  0 2026-09-21 22:13:57
 1  0      0 2666068  25444 455412    0    0    16   812 3639 5282  3  2 93  2  0  0 2026-09-21 22:13:58
 2  0      0 2668500  25492 455580    0    0     0   724 3549 5056  4  1 94  1  0  0 2026-09-21 22:13:59
 3  0      0 2670040  25604 456968    0    0     0  2056 4317 6066  6  2 90  2  0  0 2026-09-21 22:14:00
 2  0      0 2672220  25732 457332    0    0     0  1728 5737 7023  8  3 87  3  0  0 2026-09-21 22:14:01
 1  0      0 2669644  25916 457928    0    0     0  2076 5692 7569  7  3 87  4  0  0 2026-09-21 22:14:02
 2  0      0 2672444  26060 458584    0    0    24  2248 7250 9286 10  3 84  3  0  0 2026-09-21 22:14:03
 1  0      0 2671912  26236 459476    0    0     0  2396 8763 10408 13  4 79  4  0  0 2026-09-21 22:14:04
 1  0      0 2670184  26476 460488    0    0    16  3076 9092 11735 15  4 76  5  0  0 2026-09-21 22:14:05
 6  0      0 2669080  26700 461692    0    0     0  3216 12484 15126 22  6 69  4  0  0 2026-09-21 22:14:06
 1  0      0 2666516  26964 463468    0    0     0  3360 13955 15878 25  7 63  5  0  0 2026-09-21 22:14:07
20  0      0 2654636  27340 472620    0    0     0 11836 16464 18730 32  9 55  5  0  0 2026-09-21 22:14:08
 2  0      0 2644628  27684 483364    0    0     0 13040 17750 20689 34 10 51  5  0  0 2026-09-21 22:14:09
 7  0      0 2636464  27924 487684    0    0     0  6732 17869 19698 39 13 45  4  0  0 2026-09-21 22:14:10
 9  0      0 2629152  28220 493152    0    0     0  9776 17535 19410 35 11 49  4  0  0 2026-09-21 22:14:11
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
40  0      0 2624388  28500 496280    0    0     0  5540 16960 18258 35 10 52  4  0  0 2026-09-21 22:14:12
 0  0      0 2610876  28896 507368    0    0     0 14484 17839 19512 40 12 43  5  0  0 2026-09-21 22:14:13
15  0      0 2608012  29256 509380    0    0    16  7404 15001 17537 36 10 51  4  0  0 2026-09-21 22:14:14
36  0      0 2599136  29712 514232    0    0     0  8236 19369 18220 58 12 25  5  0  0 2026-09-21 22:14:15
 0  1      0 2590900  30196 519472    0    0     0 11612 15915 17227 44 11 40  5  0  0 2026-09-21 22:14:16
11  0      0 2582236  30780 523312    0    0     0 10972 19814 21493 64 11 21  5  0  0 2026-09-21 22:14:17
52  0      0 2567280  31612 534624    0    0     0 19088 20158 21124 66 14 16  3  0  0 2026-09-21 22:14:18
 0  0      0 2558208  32376 539184    0    0     0 19976 17111 19505 51 11 31  8  0  0 2026-09-21 22:14:19
 0  0      0 2553472  33048 542552    0    0     0 10356 17883 19620 60 12 27  2  0  0 2026-09-21 22:14:20
 3  0      0 2544404  33712 549076    0    0     0 15624 17407 18937 58 13 24  5  0  0 2026-09-21 22:14:21
 5  0      0 2537924  34304 553508    0    0     0  8856 16090 16118 51 11 31  6  0  0 2026-09-21 22:14:22
13  0      0 2533064  34896 556452    0    0     0  9264 16494 17587 51 11 32  7  0  0 2026-09-21 22:14:23
18  0      0 2523128  35464 563024    0    0     0 12376 16146 18365 51 12 29  8  0  0 2026-09-21 22:14:24
 0  0      0 2517128  36096 565604    0    0     0 10160 13266 15300 38  8 47  6  0  0 2026-09-21 22:14:25
 0  0      0 2513392  36712 567884    0    0     0  8772 16601 16489 62 13 23  2  0  0 2026-09-21 22:14:26
31  0      0 2507328  37320 571824    0    0     0 10168 14782 15639 46 11 35  8  0  0 2026-09-21 22:14:27
13  0      0 2500380  37928 575936    0    0     0 11216 16584 17820 52 12 28  8  0  0 2026-09-21 22:14:28
 1  0      0 2489832  38568 581408    0    0     0 12532 13790 14994 45  9 38  9  0  0 2026-09-21 22:14:29
 7  0      0 2481288  39176 586456    0    0     0 12696 18287 16508 54 14 22 11  0  0 2026-09-21 22:14:30
 0  0      0 2476800  39776 589104    0    0     0  8748 13189 14793 41  9 41  9  0  0 2026-09-21 22:14:31
 0  0      0 2468596  40432 594232    0    0     0 11832 14209 14714 42  9 43  6  0  0 2026-09-21 22:14:32
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 3  0      0 2463532  41128 596628    0    0     0 10324 16200 14327 54 12 31  4  0  0 2026-09-21 22:14:33
 0  0      0 2455508  41728 602028    0    0     0 12512 13762 14707 43 10 39  9  0  0 2026-09-21 22:14:34
 0  0      0 2450272  42392 605724    0    0     0 10008 14002 15511 42  9 44  5  0  0 2026-09-21 22:14:35
 2  0      0 2447008  43048 607364    0    0     0  9872 15540 13968 52 11 34  4  0  0 2026-09-21 22:14:36
 0  0      0 2440496  43672 612016    0    0     0 11432 15800 15378 46 11 36  6  0  0 2026-09-21 22:14:37
 0  0      0 2434224  44232 616068    0    0     0  9928 13385 14308 41  7 46  5  0  0 2026-09-21 22:14:38
43  0      0 2431460  44856 617476    0    0     0 10544 15717 15807 38 12 42  9  0  0 2026-09-21 22:14:39
128  0      0 2424788  45448 621756    0    0     0 10976 13043 13990 41  8 43  8  0  0 2026-09-21 22:14:40
21  0      0 2418404  45984 625916    0    0     0  9708 14178 14570 47 10 32 11  0  0 2026-09-21 22:14:41
 0  0      0 2416540  46388 627148    0    0     0  9220 12967 12071 36  9 45 11  0  0 2026-09-21 22:14:42
 0  0      0 2409328  46760 633256    0    0     0 12360 14326 13972 44  8 41  7  0  0 2026-09-21 22:14:43
 2  0      0 2404572  47112 636572    0    0     0  8748 15287 15811 43 11 40  6  0  0 2026-09-21 22:14:44
 0  0      0 2401864  47448 638240    0    0     0  8292 12665 13509 32 10 50  8  0  0 2026-09-21 22:14:45
 6  0      0 2397348  47912 640888    0    0     0  9736 12905 15437 42  9 40  9  0  0 2026-09-21 22:14:46
 0  0      0 2394100  48224 643100    0    0     0  7528 14274 14475 41 10 40 10  0  0 2026-09-21 22:14:47
21  0      0 2380388  48772 654780    0    0     0 22332 13723 13036 36  8 41 15  0  0 2026-09-21 22:14:48
 3  0      0 2378328  49140 656844    0    0     0 11200 14156 13874 49 10 35  7  0  0 2026-09-21 22:14:49
 0  0      0 2377584  49600 656888    0    0     0  9197 15249 15682 43 11 37  9  0  0 2026-09-21 22:14:50
12  0      0 2375808  50016 658000    0    0     0 11292 14098 14187 32  9 49  9  0  0 2026-09-21 22:14:51
 1  0      0 2375556  50336 658076    0    0     0  8812 12821 13710 40  7 45  9  0  0 2026-09-21 22:14:52
47  0      0 2373776  50764 659128    0    0     0 11844 13632 13483 41  8 41 10  0  0 2026-09-21 22:14:53
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  1      0 2371996  51164 660228    0    0     0 12092 15821 16525 55 11 26  8  0  0 2026-09-21 22:14:54
 0  0      0 2366692  51632 664436    0    0     0 15892 9865 13323 43  4 43 10  0  0 2026-09-21 22:14:55
 0  0      0 2365884  52092 664540    0    0     0  9748 2289 3290  2  1 81 16  0  0 2026-09-21 22:14:56
 0  0      0 2365644  52472 664644    0    0     0  7600  914 1781  1  1 85 14  0  0 2026-09-21 22:14:57
 0  0      0 2365140  52856 664684    0    0     0  7584  958 1837  0  1 84 14  0  0 2026-09-21 22:14:58
 0  0      0 2364132  53204 664784    0    0     0  7548  910 1795  0  1 85 14  0  0 2026-09-21 22:14:59
 1  0      0 2296120  53472 664868    0    0     0  7488 2928 4072 44 12 41  4  0  0 2026-09-21 22:15:00
