COMMAND                   AVG_CPU%
isuride                      101.6
pidstat                        0.5
rcu_sched                      0.2
sh                             0.1
mysql                          0.1
kworker/1:0-events             0.1
kworker/0:2-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
multipathd                     0.0
kworker/u8:5-kvfree_rcu_reclaim       0.0
kworker/u8:4-kvfree_rcu_reclaim       0.0
